Account Name,Company,ICP Fit Verified,Eligible ,Industry,Company Description,Business Type,Business Model,# of Warehouses,ICP Fit (Yes/No) & Rationale (AI),New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,New / Edit Sales Receipt
profwhytekratom,Prof. Whyte Kratom,No,No,Herbal Supplements (Kratom),"Brand of kratom-based wellness supplements (capsules, teas, extracts) focused on natural health benefits, distributed as part of a broader CBD/alternative wellness product line.",Small,Both,1,No – Sells kratom (an herbal supplement). This is a controverial/regulated substance in many areas and is consumable (perishable over time). The regulated nature of supplements and the legal scrutiny around kratom exclude this company from our ICP.,0,0,0,0,N/A,N/A,0,N/A,0,1,0
protectconstruction,Protect Construction Supply Inc.,No,No,Construction Site Supplies,Supplier of construction and safety materials for job sites – from debris netting and scaffold wrap to flame-retardant poly sheeting and custom printed banners.,Small,B2B,1,"Yes – Small distributor of construction supplies (e.g., tools, fasteners, safety gear for contractors). These are finished goods used in construction, not perishable and not highly regulated. Protect Construction Supply likely carries a moderate range of SKUs for builders and operates on a small scale, aligning with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
puzzlesthatrock,"Puzzles That Rock, LLC.",Yes,Yes,Novelty Puzzles & Gifts,"Creates unique, rock-themed jigsaw puzzles and novelty gifts, offering handcrafted puzzle designs that appeal to collectors and gift shops.",Small,B2C,1,"No – Sells niche puzzles (possibly rock-themed or custom puzzles). While puzzles are finished goods and unregulated, this company likely has a very limited product selection and customer base (it’s more of a specialty retail product line than a broad distributor). The lack of SKU breadth and small scope means it doesn’t fit our ICP.",0,0,0,0,0,0,0,0,0,0,0
racecardynamicsofarizonainc,"Race Car Dynamics of Arizona, Inc.",No,No,Automotive Performance Parts,"Manufacturer of high-performance automotive suspension and off-road components (Race Car Dynamics brand), supplying lift kits and suspension systems for trucks and racing.",Small,B2B,1,"No – Primarily a manufacturer of suspension systems for trucks/Jeep (RCD brand). They produce and sell their own automotive parts. That makes them a single-brand manufacturer rather than a multi-line distributor; their product range is limited (specific suspension kits) and potentially involves serialized components for warranty. Thus, they don’t meet the moderate SKU, non-serialized distribution profile of our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
rockymountainstickerco,rocky mountain sticker co,No,No,Custom Sticker Printing,"Boutique print shop producing custom stickers, decals, and labels, serving local businesses, artists, and individuals with high-quality sticker products.",Small,Both,1,"No – A very small outfit (2 employees) likely making custom stickers/decals. This is more of a specialty producer or direct retailer with a limited number of designs (SKUs), rather than a B2B wholesale distributor managing thousands of product SKUs. Not a fit for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
rojascigarsllc,Rojas Cigars LLC,No,Yes,Cigar Manufacturing & Distribution,"Boutique cigar company producing hand-rolled premium cigars and distributing them to cigar shops and lounges, operating under a Florida tobacco license.",Small,B2B,1,"No – Distributes cigars/tobacco (explicit Florida tobacco license noted). Tobacco is a regulated product (age restrictions, licensing) and thus outside our non-regulated ICP.",0,0,0,0,0,0,0,0,0,0,0
santafetreeco2restore20250205,Santa Fe Tree Company,No,Yes,Tree Services & Nursery,"Tree care and landscaping company providing professional tree trimming, removal, and plant supply services in Santa Fe, also operating a plant nursery for landscaping needs.",Midsize,Both,1,No – Sells live trees and nursery products. Live plants are perishable and often require agricultural permits; they are not the kind of stable finished goods our ICP covers.,0,0,0,0,0,0,0,0,0,0,0
sherbistone,"SHERBI STONE, LLC",No,No,Cabinets & Countertops (Wholesale),"Manufacturer and wholesale distributor of cabinets, quartz countertops, and sinks – a premier destination in Dallas for durable, stylish kitchen and bath surfaces.",Small,B2B,1,"No – Sells stone and aggregates (for landscaping or construction). Those are raw materials (bulk stone/gravel) rather than packaged finished goods, and distribution of heavy raw materials is not within our ICP scope (which excludes raw material suppliers).",0,0,0,0,N/A,N/A,0,N/A,0,1,0
siegelperformancesystems,"Siegel Performance Systems, Inc.",Yes,No,Fitness & Rehab Equipment Distribution,"Full-service distributor of quality fitness and physical rehabilitation equipment with 30+ years experience, serving clinics, gyms, and institutions with top brands.",Small,B2B,1,"Yes – Small distributor of fitness and rehabilitation equipment (SPS Fitness – 12 employees). They have been an “industry-leading, full-service distributor of quality fitness and rehab products for 30+ years”. Gym/rehab equipment are finished goods, non-perishable, and not regulated (aside from standard safety features). SPS carries a broad range of equipment lines (thousands of SKUs for different machines and accessories) and sells B2B to gyms and clinics, which fits squarely in our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
siquesttechnologysdnbhd,SIQUEST TECHNOLOGY SDN. BHD.,No,No,Cleanroom Contamination Control,"Distributor of contamination control products for ultra-clean controlled environments, helping clients achieve the strict cleanliness levels required in high-tech manufacturing.",Small,B2B,1,"Yes – Small Malaysia-based distributor of contamination control products for cleanrooms (e.g., nitrile/latex gloves, wipes). These are finished consumable goods, non-perishable and generally unregulated. SiQuest has ~2 employees but supplies a diverse range of cleanroom product SKUs, which aligns with our ICP (a small, niche B2B distributor of finished goods).",0,1,0,1,N/A,N/A,0,N/A,2,1,0
smcclainstonecoinc,"S. McClain Stone Co., Inc.",No,No,Natural Stone Wholesale,"Large wholesale distributor of Pennsylvania bluestone, fieldstone, flagstone and other natural landscape/building stone, supplying nurseries and contractors regionally.",Midsize,B2B,1,"No – Mid-size stone supplier with 197 employees, distributing stone materials. Aside from far exceeding our 100-employee cap, they deal in quarried stone (raw material), not packaged finished goods, disqualifying them on both size and product type.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
southernaggregates2,Southern Aggregates,No,No,Construction Aggregates Supply,"Supplier of construction aggregates (sand, gravel, crushed stone) for building and landscaping projects, providing bulk materials to contractors and developers.",Small,B2B,1,"No – Distributes sand, gravel, and aggregate materials (raw construction materials). These are not finished goods but bulk commodities; while not perishable, they are raw inputs outside our ICP’s focus.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
sportexsales,SPORTEX SALES INC.,Yes,No,Corporate & Work Apparel Distribution,"Distributor of imprintable corporate apparel, workwear and promotional clothing, serving businesses with custom-branded uniforms and gear (based in Canada).",Small,B2B,1,"Yes – Small distributor (7 employees) of sporting goods and team equipment. Sports gear and apparel (excluding firearms) are finished goods that are unregulated and non-perishable. Sportex likely supplies a wide range of athletic equipment/uniform SKUs to schools, leagues, or retailers, which fits the moderate SKU count and small business criteria of our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
ssifiresolutions,SSI Fire Solutions Ltd.,No,No,Fire Protection Equipment,"Provider of fire safety solutions, supplying fire suppression equipment, alarms, and consulting to businesses to ensure comprehensive fire protection compliance.",Small,B2B,1,"Yes – Distributor of fire safety equipment (fire extinguishers, alarms, sprinkler parts). These safety products are finished goods and, aside from meeting safety standards, are not legally restricted. They are non-perishable and not individually serialized for distribution. SSI Fire Solutions is small and likely carries numerous SKUs for various fire protection needs, aligning well with our ICP.",1,1,0,0,0,0,1,0,3,0,0
strongwellness,"StrongWellness, LLC",No,Yes,Health & Wellness Products,"Wellness company offering health supplements and fitness programs designed to improve strength and wellbeing, marketing lifestyle products for healthy living.",Small,B2C,1,"No – Likely a vendor of health supplements or wellness products (based on name). Supplements are ingestible (perishable over time) and regulated (FDA/labeling requirements). This company’s category (dietary/health products) puts it outside the non-regulated, non-perishable scope of our ICP.",0,0,0,0,0,0,0,0,0,0,0
sylcadesigns2,Sylca Designs LLC,No,No,Handcrafted Fashion Jewelry,"Mother-daughter design company creating bold, artistic handcrafted jewelry from sustainable materials (wood, resin, etc.), empowering women with unique statement pieces.",Small,Both,1,"No – Sells handcrafted fashion jewelry/accessories. While these products are non-perishable and unregulated, Sylca is essentially a small design brand with a limited number of unique SKUs (each collection has only so many pieces). It’s not a broad-spectrum distributor carrying many third-party product lines, so it doesn’t meet the moderate SKU complexity typical of our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
theatticdepot2,"The Attic Depot, LLC",Yes,Yes,Solar Attic Ventilation Systems,"Manufacturer & distributor of solar-powered attic ventilation fans and attic stair insulation kits, offering energy-efficient attic cooling solutions wholesale to contractors.",Small,B2B,1,"No – Manufacturer & distributor of solar attic fans and attic stairway insulators. They have a very limited product line (e.g., 3 fan models, ~16 insulation cover sizes), well below our SKU range. Although these products are finished and unregulated, the extremely narrow focus means they don’t have the moderate SKU complexity of our ICP.",0,0,0,0,0,0,0,0,0,0,0
trifunoretailsolutionsinc,Trifuno Retail Solutions Inc.,No,Yes,Retail Technology & Fixtures,"Retail solutions provider offering store fixtures, displays, and point-of-sale technologies to retailers, helping improve in-store operations and customer experience.",Small,B2B,1,"No – Primarily a sales brokerage for food manufacturers entering retail markets. They focus on grocery/food products (per their mission statement), which are often perishable and regulated. Moreover, Trifuno is more of a service partner (connecting manufacturers to retailers) than a stocking distributor with warehouses. This puts them outside our ICP on both product type and business model.",0,0,0,0,0,0,0,0,0,0,0
twobirds,Two Birds Coffee,No,Yes,Coffee Roasting & Cafés,"Specialty coffee roaster and café operator offering craft-roasted coffee beans and beverages, running cafés and supplying freshly roasted coffee to local customers.",Small,B2C,1,"No – Coffee roaster/distributor. Coffee products are perishable (they go stale) and are regulated as food products. Additionally, this is likely a B2C-oriented business (coffee sales or café operations). It does not meet our ICP criteria due to the perishable, regulated nature of the product.",0,0,0,0,0,0,0,0,0,0,0
unitedcomponentsdistributionllc,"United Components Distribution, LLC",Yes,No,Electronic Components Distribution,"Distributor of electronic and electrical components, providing a one-stop source for parts to manufacturers and repair businesses with efficient supply chain support.",Small,B2B,1,"Yes – Small authorized distributor of electronic components. Electronic components are finished goods (chips, connectors, etc.), non-perishable and generally unregulated. UCD operates with a few employees and multiple product lines (they have three divisions of components), implying a healthy range of SKUs. Their scale (single location in SC) and product profile align perfectly with our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
waterscienceinc,"Water Science, Inc.",No,No,Water Treatment Systems,"Water treatment company offering residential water purification and softening systems, providing testing, installation and maintenance of water filtration solutions.",Small,B2C,1,"No – Primarily a water treatment service company (designing & installing water softening/purification systems). While they sell equipment, their core model is service-oriented (and water treatment touches on health regulations). They are not a straightforward B2B product distributor with a catalog, so they don’t fit our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
whclenterprises2,WHCL Enterprises,No,No,Holiday Lighting Services,"Professional Christmas light installation company (“We Hang Christmas Lights”) that designs, installs, and removes holiday lighting displays for homes and businesses.",Small,B2C,1,"No – Runs We Hang Christmas Lights, which is chiefly a seasonal installation service business (decorating homes). Any product sales (lights, decor) are incidental to their service. They do not operate as a traditional B2B distributor with a warehouse of goods – not a fit for our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
acocamtradinginc,Acocam Trading Inc,Yes,Yes,Logistics & Freight,"Canadian company specializing in international logistics, import-export and freight transport (connecting Canada with African markets).",Small,Both (B2B & B2C),1,"No. Small size fits (only 1 employee), but not a distributor of finished goods – it’s a logistics broker/trading intermediary. Acocam doesn’t maintain its own inventory or warehouses, and SKU complexity doesn’t apply. Its role is facilitating trade rather than stocking 1,000–5,000 SKUs, so it falls outside the target ICP.",0,0,0,0,0,0,0,0,0,0,0
appenninofoodusa,Appennino USA Corp.,No,Yes,Food & Beverage (Gourmet Foods),"U.S. branch of Apennino Food Group (Italy), focusing on processing and distribution of truffles and other gourmet Italian food products.",Small,B2B,1,"No. Small business (2 employees) and does distribute B2B (Italian truffle products), but it sells perishable goods (fresh truffles, mushrooms). Perishables violate the “non-perishable” ICP criterion. Additionally, its SKU range is limited (niche gourmet items, likely <1,000 SKUs), so despite having 1 warehouse, it fails the ICP on product nature.",0,0,0,0,0,0,0,0,0,0,0
cappadociarugsllc,Cappadocia Rugs LLC,Yes,Yes,Home Furnishings Retail,"Retailer of premium, luxury hand-knotted area rugs, specializing in Turkish Oushak designs.",Small,B2C,1,"No. While small (3 employees) and dealing in non-perishable goods (rugs), this is a retail business, not a B2B distributor. It sells directly to consumers (furniture/home décor retail) rather than distributing to other businesses. The SKU count is relatively low (limited rug designs, far <1,000), and it operates a single small outlet – not aligned with the ICP’s distributor profile.",0,0,0,0,0,0,0,0,0,0,0
dbuoy,Databuoy,No,Yes,Security Technology (Surveillance),Developer of an integrated gunshot detection & surveillance platform that uses acoustic sensor networks to instantly locate shooters.,Small,B2B,0,"No. Small size (30 employees) but not a wholesale distributor – it’s a tech manufacturer of a specialized security system. Databuoy sells its own high-tech sensor products, not a broad range of finished goods. Its product line is narrow (few proprietary devices, not 1,000+ SKUs) and it carries no inventory for distribution beyond its manufacturing needs, so it doesn’t fit the ICP.",0,0,0,0,0,0,0,0,0,0,0
fireprosupply3,Fire Pro Supply Ltd.,No,Yes,Firefighting Equipment Supply,Canadian importer and distributor of firefighting and fire protection supplies (serving fire departments and safety contractors).,Small,B2B,1,"Yes. It’s a small distributor (few staff) that imports and supplies fire protection goods. Products are non-perishable, finished equipment (e.g. extinguishers, hoses) with no special regulation beyond safety standards. SKU complexity is moderate (various fire safety parts and supplies), and it likely operates one warehouse in Mississauga. Meets all ICP criteria (small size, B2B distribution, suitable products, limited warehouses).",0,0,0,0,0,0,0,0,0,0,0
geomarinetrade,GEO MARINE TRADE LTD,No,Yes,Marine Fuel & Lubricants Trading,"Trader in marine bunker fuel and lubricants, fulfilling oil and fuel demands for shipowners and operators.",Small,B2B,0,"No. Small operation (4 employees) and B2B focus (trades motor oils globally), but does not stock a broad SKU range – it deals in a narrow set of oil products. Goods are non-perishable fluids (not regulated like pharma), yet the company acts more as a broker with no dedicated warehouse. The limited product variety (few types of oils) means it lacks the moderate (1k–5k) SKU complexity, so it isn’t an ideal ICP fit.",0,0,0,0,0,0,0,0,0,0,0
independenteyewearcollective,Independent Eyewear Collective LLC,Yes,Yes,Eyewear Distribution (Luxury),"Imports and curates high-end independent designer eyewear collections, connecting global boutique eyewear brands with the U.S. market.",Small,B2B,1,"Yes. A small business (likely under 5 employees) that distributes finished goods – luxury eyewear frames – to retailers. Products are non-perishable, non-regulated consumer goods. SKU complexity is moderate (multiple designers and models of frames, potentially hundreds of SKUs). It operates on a modest scale (one warehouse/showroom) and sells B2B (with some direct sales), aligning well with the ICP criteria.",0,0,0,0,0,0,0,0,0,0,0
jonescoffeeroasters2,Jones Coffee Roasters,No,Yes,Coffee Roasting & Retail,Family-run Pasadena coffee roaster (5th-generation) sourcing beans from its own Guatemalan farm and selling organic coffee through its cafes and to retailers like Whole Foods.,Small,Both (B2C & B2B),1,"No. Small business, but primarily a producer/retailer – they roast and sell their own coffee (family coffee company). While coffee beans are non-perishable goods, the company isn’t a broad-line distributor: it offers a limited range of its own products (dozens of coffee SKUs, not thousands) and mainly sells direct to consumers (and a few wholesale accounts). Lacking a large SKU catalog and distribution operations, it doesn’t fit the ICP.",0,0,0,0,0,0,0,0,0,0,0
lightforgedlogistics,Lightforged Logistics,No,Yes,Logistics (Freight/Trucking),"Florida-based logistics startup offering freight transportation services (incorporated Nov 2024 in Bartow, FL).",Small,B2B,0,"No. This is a one-person side venture, not a product distributor. It has virtually no employees (just the owner) and no warehouse. There’s no evidence of handling any SKU inventory – the business likely provides minimal logistics services. It fails almost all ICP criteria except being small, so it’s not a fit.",0,0,0,0,0,0,0,0,0,0,0
londontec,LONDONTEC LLC,Yes,Yes,Electronics Distribution/Trading,"Distributor/reseller of electronics and appliances based in Florida (Homestead), handling significant sales volume in consumer electronics.",Small,B2B (Wholesale),1,"Yes. A small private company (incorporated 2023) operating from a Miami warehouse address. While specific products aren’t public, it likely distributes non-perishable tech or business supplies. As a B2B distributor, it can offer a moderate range of SKUs (the sales volume ~$9M suggests broad inventory). With a single warehouse unit and <100 employees, it meets the ICP on size, model, and (presumed) product type.",0,0,0,0,0,0,0,0,0,0,0
mogselections3,MOG SELECTIONS,No,Yes,Wine Production & Distribution,"Producer and distributor of boutique European wines – “from the vineyard to your glass,” serving customers in Costa Rica.",Small,B2C (Primarily),1,"No. Small business (6 staff) that distributes wines directly to consumers and partners. However, alcoholic beverages are highly regulated products, requiring licenses and special handling. This violates the ICP’s “non-regulated” criterion. While it carries a moderate selection of wines, and operates on a small scale, the regulated nature (and perishability concerns for wine) means it does not fit the ICP.",0,0,0,0,0,0,0,0,0,0,0
op76cattle,"Outpost 76 Operations Co., Inc",No,Yes,Ranching & Premium Meats,Texas-based ranch producing premium Wagyu/Angus beef and heritage pork; prides itself on exceptional Texas-raised meats for high-end consumers and restaurants.,Small,Both (B2C & B2B),1,"No. Although small (13 employees) and B2B-oriented, it’s not a distributor of finished goods – it’s a cattle ranch operation. Its “products” are live animals or meat (perishable and subject to agricultural/food regulations). There is no SKU inventory of packaged goods or a warehouse network (operations are on farmland), so it fails multiple ICP criteria (industry and product type are out of scope).",0,0,0,0,0,0,0,0,0,0,0
pagonislivebait,Pagonis Live Bait,No,Yes,Fishing Bait Supply,"Long-running supplier of live fishing bait (e.g. nightcrawlers, wax worms, maggots), serving the North American bait industry for 30+ years.",Small,B2B,1,"No. Small in size, but its products are perishable live goods (live bait insects/worms) which require special care and are not within “non-perishable” scope. It does distribute to businesses (bait retailers) and individuals, but the SKU variety is very low (only a few types of bait, not thousands). Despite a single distribution facility, the nature of its goods (live, perishable organisms) means it isn’t an ICP fit.",0,0,0,0,0,0,0,0,0,0,0
proautodealersupplyinc,"PRO-Auto Dealer Supply, Inc.",Yes,Yes,Automotive Dealer Supplies,"One-stop supplier for auto/moto dealerships’ sales and service needs – offers key tags, license plate frames, forms, banners and other customizable dealer supplies.",Small,B2B,1,"Yes. A small B2B distributor (1 employee) specializing in auto dealer consumables. Products are non-perishable and unregulated (paper goods, decals, etc.), and the company offers “thousands of stock items” in its catalog – a moderate SKU complexity that aligns with the ICP. It likely uses a single location or third-party fulfillment (no large warehouse footprint). This profile (small, niche B2B distributor with broad SKU range) fits the ICP well.",0,0,0,0,0,0,0,0,0,0,0
rjdrews3,R.J. Drews & Sons Inc,Yes,Yes,Industrial PVF Distribution,"Manufacturers’ rep and distributor of industrial pipe, valve & fitting (PVF) products, with 50+ years in the business serving distributors and OEMs.",Small,B2B,1,"Yes. Small-scale distribution company (8 employees) that stocks and sells PVF industrial components. It operates in a B2B capacity, supplying other businesses/projects. Products are non-perishable industrial goods (valves, fittings) with no special regulations, and the line card is extensive (multiple manufacturers – hundreds of SKUs). With one primary warehouse and limited branch offices, it satisfies all ICP criteria.",0,0,0,0,0,0,0,0,0,0,0
sensorytoys4uretailltd,Sensory Toys4U Retail Ltd,Yes,Yes,Specialty Toy Retail (E-commerce),"Specialist retailer of sensory toys for children with special needs, boasting 2,000+ products in stock (based in Dartford, UK).",Small,B2C,1,"No. While small (3 employees) and offering a large variety of non-perishable products (toys), this is a retail operation selling directly to 11,000+ consumers, not a B2B distributor. It doesn’t primarily supply other businesses (no wholesale model). Thus, despite moderate SKU complexity, its business model (direct retail) and customer base fall outside the ICP’s focus on B2B distribution.",0,0,0,0,0,0,0,0,0,0,0
empirecoatingsolutions,SOCAL ECS (Empire Coating Solutions),No,Yes,Construction Materials (Coatings),"Provider of concrete coating supplies and epoxy flooring solutions in SoCal, leveraging 25+ years of expertise to deliver high-quality floor finishes.",Small,B2B,1,"Yes. A small regional supplier that distributes epoxy and floor coating products to contractors (and DIY customers). Goods are non-perishable building materials (resins, etc.), and aside from standard hazmat handling for chemicals, they are not heavily regulated. SKU range is moderate (various coating types and tools, though not thousands of SKUs). With a single facility and a B2B-oriented sales model (contractor supplies), it meets the ICP criteria.",0,0,0,0,0,0,0,0,0,0,0
thermalbridgingsolutions,Thermal Bridging Solutions,Yes,Yes,Building Materials (Thermal Breaks),"Supplies thermal break materials to minimize thermal bridging in building envelopes, improving energy efficiency in construction.",Small,B2B,1,"Yes. A small company (2 employees) that distributes specialized construction materials (thermal break pads) to other businesses. Products are non-perishable and not subject to special regulation. The company carries multiple product lines (thermal break materials in various grades and sizes), giving a moderate SKU count. It operates a single warehouse and focuses on B2B sales to construction professionals, aligning well with the ICP.",0,0,0,0,0,0,0,0,0,0,0
villasurgicalandequipments,VILLA SURGICAL AND EQUIPMENTS LTD,No,Yes,Medical Equipment Supply,"Nairobi-based supplier of surgical and hospital equipment, committed to providing top-quality medical supplies to healthcare facilities.",Mid-size,B2B,1,"No. Medium-small business (52 employees) operating as a broad medical supplier. Crucially, it handles regulated products – e.g. pharmaceuticals and medical devices require licenses and compliance. This violates the ICP’s “non-regulated” criterion. Although it is B2B and carries a large SKU range of non-perishable items, the regulatory complexity and sector (medical/pharma) place it outside the ideal ICP profile.",0,0,0,0,0,0,0,0,0,0,0
wellcraftedacuratedliquoragency,Well Crafted – A Curated Liquor Agency,No,Yes,Alcohol Beverage Agency,"Curated liquor agency representing premium craft spirits and brands in the Alberta market (focused on thoughtfully selected, “well-crafted” liquor offerings).",Small,B2B,0,"No. Small business (essentially an individual agent) that distributes alcoholic beverages to licensed buyers. Alcohol is a highly regulated product category (licenses, government control), breaching the ICP’s non-regulated goods rule. Moreover, as an “agency” it may not hold inventory itself (relying on third-party liquor warehouses). Despite its B2B focus and modest size, the regulatory barrier and product type exclude it from ICP fit.",0,0,0,0,0,0,0,0,0,0,0
trueworldfoodsseattlellc,1. True World Foods Seattle LLC,No,No,Food Distribution (Seafood),"A wholesale distributor of premium fresh/frozen seafood and specialty food products, serving restaurants, retailers, and markets. Part of a larger group with 23 distribution centers globally.",Small (local branch of a large company),B2B (Foodservice wholesale),23 distribution centers globally (Seattle branch operates 1),"No.This company is a large wholesale distributor of fresh and frozen seafood, operating multiple facilities (23+ locations) and handling perishable food. Its scale (far above 100 employees) and its regulated, highly perishable product line (seafood) put it outside the ICP criteria.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
coffeeman,2. Coffee Man,No,No,Food & Beverage (Specialty Coffee),"An Atlanta-based specialty coffee roaster and craft cold brew company. They roast coffee and brew unique cold brews, supplying cafes/offices (wholesale) and selling directly to consumers.",Small,Both (Wholesale to cafés/offices and retail online),1 (Roastery/coffee shop in Atlanta),"No.Coffee Man is a small beverage producer (cold brew coffee and coffee beans) that sells its own products wholesale and retail. Its product line is limited and consumable (with shelf-life considerations), and it functions more as a brand manufacturer than a multi-SKU distributor of third-party goods.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
cardmonster,3. Card Monster (Pty) Ltd,Yes,No,Printing & Card Products,"Family-owned provider of card supply solutions (ID cards, membership cards, lanyards, card printers, etc.), a leading manufacturer and wholesaler of ID card products in South Africa.",Small,B2B (Supplies businesses/institutions with card products),1 (Johannesburg HQ),"Yes.Card Monster is a distributor of ID card printing supplies and accessories (PVC cards, card printers, lanyards, etc.). These are non-regulated, non-perishable finished goods, and the business offers a variety of SKUs (card materials, printer ribbons, software) through an online store. As a small company (likely only a few staff) serving organizations’ ID needs, it fits the ICP.",0,1,0,0,0,0,0,0,1,0,0
lucentconsultingfirm,"4. Carr Oilfield Services, LLC",No,No,Oil & Gas (Fuel Distribution),"A fuel distributor (major distributor for Sunoco LP) supplying gasoline, diesel, and jet fuel domestically and for export. Focused on oilfield and fuel supply services.",Midsize,B2B (Commercial fuel supply),0 (No traditional warehouses – uses fuel terminals),"No.Carr Oilfield Services appears to be involved in fuel distribution for oilfield operations (listed as a licensed fuel distributor in Texas). Distributing petroleum products means dealing with regulated, hazardous commodities outside the ICP’s non-regulated scope. The company’s focus on fuel/oil also implies specialized logistics rather than a simple warehouse distribution of finished goods.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
hendersonenterprises,5. Henderson Enterprises,Yes,No,Industrial Equipment (Air Filtration),"An industrial air filtration solution provider based in Mukilteo, WA, offering equipment sales, installation, parts, and repair services. Designs and installs air filtration systems for various industries.",Small,B2B (Industrial/Commercial clients),1 (Mukilteo office/warehouse),"Yes.Henderson Enterprises is a small distributor of industrial air filtration products and filters. It carries non-regulated, non-perishable equipment (air filters and related supplies) for industrial clients, likely with a moderate number of SKUs. The company operates from a single warehouse in Washington state and has well under 100 employees, which aligns with the ICP.",0,0,0,0,0,0,1,0,1,0,0
cuveecoffee,6. Cuvee Coffee,No,No,Food & Beverage (Coffee Roasting),"An Austin, TX specialty coffee roaster established in 1998, known for roasting exceptional, sustainably sourced coffee. Offers wholesale to restaurants/cafés and direct-to-consumer online.",Small,Both (B2B wholesale and B2C retail),1 (Roastery facility in TX),"No.Cuvée Coffee is primarily a coffee roasting company and beverage brand, not a broadline distributor. It sells its own roasted coffee and canned cold brew (a consumable product) through wholesale and retail channels. Despite being small, it doesn’t fit the ICP because it’s a single-brand manufacturer of perishable beverages rather than a distributor of diverse finished goods.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
agribestfeeds2,7. AGRI-BEST FEEDS INC,No,No,Agriculture (Animal Feed Distribution),"Regional distributor/marketer of livestock feed supplements and equipment (SweetPro, Redmond minerals, Arrowquip handling equipment) sold via a network of dealers. Focused on improving livestock health and producer profits.",Small,B2B (Wholesale to dealers and ranchers),"1 (Billings, MT main warehouse)","Yes.Agri-Best Feeds is a regional distributor of livestock feed supplements and ranch equipment. Its products (feed tubs, minerals, livestock handling equipment) are non-regulated and shelf-stable, sold to farm and ranch customers. The company is small (≈33 employees) and serves a focused B2B market with a manageable product range, which is consistent with the ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
icustomlabel,8. iCustomLabel,Yes,No,Printing & E-commerce (Custom Labels),"An online custom printing company for personalized labels, stickers, and gifts. Enables customers to design labels for events, businesses, etc., with fast production and shipping.",Small,B2C (Direct-to-consumer and small business orders online),"1 (Printing facility in Oldsmar, FL)","No.iCustomLabel is a custom printing business for personalized labels and stickers, catering to events and individual customers. It does not distribute third-party finished goods; instead, it manufactures made-to-order products. Given its focus on custom print orders (and mostly B2C orientation), it falls outside the ICP’s definition of a small B2B finished-goods distributor.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
hefestustech2,9. Hefestus USA Inc.,No,No,Manufacturing (Packaging Machinery),"Manufacturer of advanced packaging and sealing machines, known for precision automation (notably in cannabis and food packaging). Provides packaging equipment and automation solutions.",Small,B2B (Sells capital equipment to producers),1 (US office/parts warehouse),"No.Hefestus USA is the arm of a packaging machinery manufacturer (Hefestus Technologies) focusing on automated packaging solutions (including cannabis and food packaging machines). The business sells high-value capital equipment (which are serialized and specialized) rather than thousands of consumable SKUs. As a result, it doesn’t match the ICP’s profile of a distributor handling moderate-SKU inventories of non-regulated goods.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
questonedistributors,10. Quest One Distributors,Yes,No,Automotive Materials Distribution,"Distributor of premium window films and vinyl wraps, partnering with Avery Dennison to supply professional installers. Based in Lake Elsinore, CA, serving the automotive and signage industry.",Small,B2B (Supplies products to tint and wrap shops),1 (California warehouse),"Yes.Quest One is a specialized B2B distributor of window films and vinyl wraps, notably an authorized distributor for Avery Dennison automotive and architectural films. Its products are finished goods (tint films, vinyl) that are non-perishable and unregulated, offered in a wide variety (many SKUs of different tints and colors). The company is small (~9 employees) and operates primarily from a single location to service installers, fitting the ICP criteria.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
categorycreations,11. Category Creations LLC,Yes,No,Retail Merchandising / Distribution,"A distribution and merchandising company that replenishes and manages product categories and displays in retail stores. (Likely distributes branded products – e.g., apparel or accessories – to multiple retail locations via route sales.)",Small,"B2B (Supplies retail stores, category management)",1 (Estimated – main facility for product stock),"Yes.Category Creations (d/b/a Dover Bluff Hat Co.) designs and wholesales its own line of hats to retail boutiques. The goods are non-regulated, non-perishable finished apparel. The company is small (~19 employees) and distributes these products to many store customers (as evidenced by their outreach to “beautiful boutiques” that carry their line), which aligns with the ICP (acknowledging that their SKU count is limited to their hat collections).",0,0,0,0,N/A,N/A,1,N/A,1,1,1
