Account Name,Company Name,Vertical,Industry,Workflow Type,Company Description,Supply Chain Position
shedyard,The Shed Yard,Retail,Custom Outdoor Structures Manufacturing & Retail,Custom Building & Delivery - Family-Owned,"Local, family-owned, trusted business serving Colorado and New Mexico. Provides Colorado's highest quality custom-built storage sheds, studios, chicken coops, barns, garages. Builds and delivers premium outdoor structures. Free delivery to most of Colorado. Online customizer tool available.",Manufacturing + Distribution
raybiotech,RayBiotech Life,Manufacturing (MWD),Life Sciences - Proteomics Research Products Manufacturing,Manufacturing & Services - Antibodies & Immunological Products,"Founded 2001, Peachtree, GA. Leading life sciences company. Introduced first commercially available cytokine antibody array. ISO 13485:2016, cGMP manufacturing, ISO 17025:2017, CLIA certified. Serves scientific research, biotechnology, pharmaceutical development. All antibodies manufactured on-site.",Manufacturing
knf,KNF Neille Olson,Manufacturing (MWD),Diaphragm Pumps & Vacuum Systems Manufacturing,"Design, Manufacturing & Distribution - Global Leader","KNF Neuberger, Inc. - renowned global leader in manufacturing/distribution of high-quality vacuum pumps with decades of history. Develops, designs, manufactures diaphragm pumps for moving gases/liquids in industries worldwide. Environmentally-friendly, cost-effective alternatives to water aspirators.",Manufacturing + Distribution
mtausa,"MTA-USA, LLC",Wholesale and distribution services (MWD),Industrial Process Cooling & Compressed Air Treatment Manufacturing,Manufacturing - Now Part of Trane,"Leader in compressed air treatment products and process cooling equipment since 1982. Buffalo, NY. Over 35 years manufacturing industrial process cooling solutions for tough environments. Now part of Trane (leader in building technology, energy solutions), enhancing capabilities and service network.",Manufacturing
centricityvisioninc3,"Centricity Vision, Inc",Manufacturing (MWD),Ophthalmic Technology & Cataract Surgery Devices,Medical Device Design & Manufacturing - FDA Cleared,"Carlsbad, CA. Global ophthalmic technology company, formerly Mynosys Cellular Devices (rebranded May 2020). Developer of ZEPTO® and ZEPTOLink IOL Positioning Systems. FDA 510(k) clearance for ZEPTOLink (May 2023). October 2024 platform enhancements reduced treatment time by 60%.",Manufacturing
affordablemedical,Affordable Medical LLC,Retail,MULTIPLE COMPANIES - Requires Clarification,PENDING - Medical Equipment/Supplies Distribution,"MULTIPLE ENTITIES FOUND: (1) Affordable Medical Equipment (affordable-medical.myshopify.com) - professional distributor, AME LLC Nevada subsidiary, (2) Affordable Medical Supplies Arkansas/Missouri - respiratory equipment specialization (CPAP/BiPAP/oxygen), (3) Affordable Medical Supplies Dallas - family-owned 20+ years, 10,000+ customers, (4) Affordable Medical Supply Colorado Springs - rentals/sales general public/medical professionals, (5) Affordable Medical Supply (affordablemedical.com) - in-home supplies/equipment. Specific entity requires verification.",Distribution
exloc9,"Exloc Instruments, Inc.",Manufacturing (MWD),Hazardous Area Equipment & Intrinsically Safe Solutions,Distribution - Explosion-Proof Instrumentation,"Founded 1994, Montgomery, TX. Provides instruments, electronic devices, products designed/approved for hazardous classified locations (flammable gas, dust atmospheres). Partnered with experienced manufacturers in Europe and North America. Serves oil/gas, pharmaceutical, wastewater treatment, food/beverage (distillers, brewers).",Distribution
back2internationalltd,Back2 International Ltd,Retail,Ergonomic Office Furniture Distribution - UK Market,Sales & Services - DSE Assessments & Ergonomic Solutions,"30+ years providing ergonomic help to companies and individuals. London, England (40 Half Moon Crescent, N1 0TJ). UK's leading supplier of ergonomic office chairs for home/workplace. Authorized dealer: Herman Miller, HAG, Humanscale, Okamura, RH, Lavoro, Luxy, Moll. 5 stars, 1,713 customer reviews.",Wholesale
caribbeandiagnosticsltdCo1,Caribbean Diagnostics Inc,Wholesale and distribution services (MWD),Medical Laboratory Equipment & Service Provider,Distribution & Service - Caribbean Regional Specialist,"Cayman company owned by laboratory technologist and physician. George Town, Grand Cayman (Elizabethan Square-Eden House, PO Box 189, KY1-1004). Provides leading medical laboratories with best equipment/service in Caribbean region. Addresses regional challenges: hurricanes, customs issues, reagent supply concerns.",Distribution
profwhytekratom,Prof. Whyte Kratom,Wholesale and distribution services (MWD),Botanical Products - Kratom Manufacturing & Retail,Manufacturing & E-Commerce - Plant-Based Wellness,Founded in South Florida. Reputable kratom brand committed to premium plant-based wellness products. Emphasizes quality and transparency. Trusted supplier sourcing with rigorous third-party testing for each batch. Organic sourcing. 21+ only. Products $12-$160 range.,Manufacturing
agralarm1,"Agralarm, Inc.",Manufacturing (MWD),Agricultural Monitoring & Alarm Systems - Poultry/Livestock,Installation & Service - Farm Monitoring Solutions,"Based Salisbury, MD. 30+ years experience installing/providing service to poultry/livestock business owners across Southeast. Serves all major poultry integrators, over 2,200 farms. Contact: 888-968-2802. Tagline: 'Serving the Industry that Feeds the World'.",Manufacturing
hylunia,Hylunia Skin Care,Manufacturing (MWD),Vegan & Natural Skincare Manufacturing,Manufacturing & E-Commerce - Plant-Based Wellness,"Founded 1988 by Dr. Lingam and Dr. Brian Jegasothy, Henderson, NV. Developed for founder's daughter's sensitive skin, collaborated with dermatologists/anti-aging physicians. Certified vegan, cruelty-free, natural, plant-based, non-toxic, clean, anti-inflammatory. 11-50 employees. Combines ancient Ayurvedic principles with modern science.",Manufacturing
loretech,Lore Technology,Wholesale and distribution services (MWD),Industrial Imaging Solutions & Vision Systems,Design & Distribution - Veteran-Owned,"Founded 2020, Indianapolis, IN (55 Monument Circle, Suite 700). Service-disabled veteran-owned small business. 35+ years vision/electronics industry experience. Team experience: healthcare, manufacturing, physical security, nuclear power, cybersecurity. Subsidiary Wilco Imaging customizing since 2003. Contact: (317) 678-9309.",Distribution
tritterfeeferCo1,Tritter Feefer Home Collection,Manufacturing (MWD),Custom Home Furnishings Manufacturing - Wholesale,"Custom Manufacturing - Family-Owned, Made in USA","Founded 2007 by husband-wife Bill Aultman and ML Littlefield (moved Colorado to Georgia for grandchildren Tristan/Faith - Tritter/Feefer nicknames). 6 relocations before permanent LaGrange, GA home 2015. Family-owned, rich background in retail home furnishings/interior design. Wholesale only, showrooms: Atlanta, New York, High Point, Dallas.",Manufacturing
access2mobilityinc,Access2mobility,Retail,Mobility Equipment & Accessibility Solutions,Sales & Service - Complete Mobility Solutions,Provides complete mobility solutions for individuals with physical limitations. Offers both product sales and service options including repair/maintenance. Full-service mobility equipment provider for home and vehicle accessibility.,Manufacturing
bindersincCo1,"Binders, Inc.",Manufacturing (MWD),Custom Office Supply Manufacturing - Binders & Related Products,Full-Service Manufacturing - Made in USA,"Founded November 1981, Charlotte, NC. 35+ years manufacturing custom three ring binders and associated products. All manufacturing facilities/business offices in USA. Wholly owned subsidiary of Jones Holding Corporation (JHC) - privately funded holding company for small cap manufacturing/distribution acquisitions. Serves healthcare, legal, education, religious institutions, general business.",Manufacturing
MYOSCORP,MYOS CORP,Manufacturing (MWD),Advanced Nutrition - Muscle Health Products,"Research, Development & Commercialization","Research-based advanced nutrition company with Human Nutrition and Animal Health divisions. Built on world class science/research. Portfolio: 8 successful clinical studies, 7 patents. Formerly Myos Rens Technology Inc. Focused on discovery, development, commercialization of nutritional ingredients, functional foods, technologies for muscle tissue health/performance.",Manufacturing
animalhospitalsupplyinc2,Animal Hospital Supply Inc.,Retail,Veterinary Surgical & Critical Care Supplies Manufacturing,Manufacturing - Pet-Specific Medical Products,"Established 2012, Flowery Branch, GA (4142 Industry Way). Developed procedure-specific surgical drapes with world's leading veterinary surgeons. Manufacturer partner with MWI Animal Health (major veterinary distributor). Focus: pet-specific designs vs. adapting human medical products. Addresses modern technology need in veterinary medicine.",Manufacturing
supplyshield,Supply Shield Inc,Wholesale and distribution services (MWD),Electronic Components Distribution - Aerospace/Defense,"Procurement, Stocking & Distribution","Saint Petersburg, FL (3224 Bennett St N, 33713). Premier distributor of electronics, hardware, IT equipment. AS 9120 & ISO 9001:2015 certified. Customers: Aerospace/Defense Industries, Original Equipment Manufacturers, Contract Manufacturers. Semiconductors/electronic components sector. 1-10 employees, revenue under $1M.",Distribution
delmarvadesigncenter,Delmarva Design Center,Retail,Kitchen & Bath Design Center - Residential Remodeling,Design & Sales - One-Stop Shop,"Selbyville, DE 19975 (Delmarva Peninsula, Elizabethan Square-Eden House). 9,600 sq ft showroom with 24 kitchen displays. Kitchen/bath company offering cabinets, countertops, appliances, flooring, tile all in one location. 3D rendering design capability for discovering ideas/creating home designs.",Unclear
audiovideosupply,Audio Video Supply,Wholesale and distribution services (MWD),MULTIPLE COMPANIES - Requires Clarification,PENDING - Likely Audio Visual Equipment Distribution,"MULTIPLE ENTITIES FOUND: (1) Audio Video Supply (avsupply.com) - wholesale distributor providing single source solution to OEMs/system resellers for video components/cameras/lenses, (2) Audio Supply - distributor of commercial/professional A/V products since 1988 (Shure, Atlas, Crown, JBL, Soundtube, TOA), (3) Marshall Industries - leading AV system installation for schools/businesses. Specific 'Audio Video Supply' entity requires verification.",Wholesale + Distribution
trask2000,TRASK PERFORMANCE,Manufacturing (MWD),Motorcycle Performance Parts & Custom Builds,Full Service & Customization - Harley-Davidson Specialist,"Founded 2000 by Nick Trask (New Zealand to USA following motorcycle passion), Phoenix, AZ (21601 N 3rd Ave). Arizona's premier service/dyno tune facility. New facility brings manufacturing, R&D, customer support under one roof. Made in USA. Certified instructors for installation/tuning/dyno testing.",Manufacturing
atlanticgraphics,"Atlantic Graphic Systems, Inc",Manufacturing (MWD),Printing Machinery Distribution - New & Pre-Owned,Sales & Service - Factory Trained Support,"Established 1976, mid-Atlantic USA. 45+ years trusted supplier of quality new/certified pre-owned printing machinery. Factory trained service staff highly proficient in operation, mechanical/electronic repair. Serves mid-Atlantic graphics community with new/refurbished machinery, consumables, technical support.",Manufacturing + Wholesale + Distribution
houhyd,HOUSTON HYDRAULIC,Manufacturing (MWD),Hydraulic Components & Systems - Fluid Power Solutions,"Distribution, Design & Service - Since 1945","Serving hydraulic needs since 1945, Houston, TX (8101 Pinemont Dr). Comprehensive fluid power solutions provider. 60+ years designing/manufacturing hydraulic power units for wide-range applications. Distribution, design, manufacturing, testing, implementation capabilities.",Distribution
customequipmentcompanyinc,"Custom Equipment Company, Inc.",Manufacturing (MWD),Material Handling & Custom Packaging Solutions,Manufacturing & Distribution - Since 1978,"Since 1978, United States operations. Custom packaging specialists pioneering collapsible, reusable containers/pallets for semi-bulk liquid/dry products. 40+ years experience, thousands of solutions implemented. Serves manufacturing, distribution, agriculture, aerospace. Authorized distributor multiple brands.",Manufacturing
ssps,"SMITH Manufacturing (SSPS, Inc)",Manufacturing (MWD),Surface Preparation Equipment Manufacturing - Pavement/Flooring,Manufacturing - Contractor Equipment Specialist,"Pompano Beach, FL. Manufacturer of quality, cost-effective surface-preparation equipment/cutter tools for hard-working contractors. Maintains largest inventory of machines/consumable wear components. Helps contractors repair/maintain asphalt/concrete surfaces, achieve all 10 surface profiles.",Manufacturing
pacificergonomics,Pacific Ergonomics,Wholesale and distribution services (MWD),Ergonomic Office & Laboratory Furniture Distribution,Sales & Consulting - Complete Furniture Solutions,"Escondido, CA (329 W Grand Ave, just outside San Diego). Ergonomic business furniture boutique with specialty solutions for offices, laboratories, manufacturing. Complete office furniture supplier and ergonomic consulting firm. Two divisions: Business Furniture Solutions and Ergonomic Services creating work environments blending style, productivity, health.",Manufacturing + Wholesale + Distribution
pickonus,"Pick on Us, LLC",Retail,Eco-Friendly Disposables - Restaurant & Hospitality Products,Manufacturing & Wholesale - Custom Branding,"Provides eco-friendly disposables elevating presentation, delighting guests, protecting planet. Serves restaurants, hotels, caterers at wholesale prices. Contact: 760-597-0276 M-F 8am-4pm PST, info@pickonus.com. Notable clients: Ketel One Vodka, MGM Resorts International, Ruth's Chris Steakhouse. Supplies stadiums, airlines, cruise lines, large travel/entertainment venues.",Manufacturing + Wholesale
pscfloturninc,Flow-Turn Inc,Manufacturing (MWD),Powered Belt Curves & Spiral Conveyors Manufacturing,Global Manufacturing - Since 1980,"Founded 1980, Union, NJ. Global manufacturer of powered belt curves and spiral conveyors. Dedicated to delivering simple, efficient, reliable products to diverse national/international customers. Distribution/fulfillment centers, packaging/parcel facilities, airports installations.",Manufacturing
americanwholesaledistributors,American Wholesale Distributors,Wholesale and distribution services (MWD),Apparel & Custom Logo Branding Wholesale - awdinc.net,Wholesale Distribution - Men's & Boys' Clothing,"Canoga Park, California (21224 Vanowen St). SIC code 5136 (Men's and Boys' Clothing and Furnishings). Specializes in quality apparel, Lucky Gambler Clothing brand, custom logo branding/design. Website: awdinc.net. Note: Different from Alabama-based grocery distributor with similar name.",Wholesale + Distribution
mpactbeverage2,Mpact Beverage Company,Manufacturing (MWD),Ready-to-Drink Craft Cocktails Manufacturing,Premium RTD Beverage Production - Award-Winning,"Houston, TX. Produces premium ready-to-drink adult craft beverage products. Award-winning: Island Style Rita won Best Overall Wine Based RTD Cocktail 2024. Handcrafted small batches using finest ingredients/fruit juices worldwide, pure natural Louisiana cane sugar, proprietary Cryopact™ cold filtration process.",Manufacturing
grothouse,"Grothouse, Inc",Manufacturing (MWD),Luxury Wood Countertops & Butcher Blocks Manufacturing,Custom Manufacturing - Made in USA,"25+ years wood surfacing excellence, 50 acre farm facility. Master craftsmen, Made in USA, sustainable/renewable/eco-friendly practices. Featured on This Old House, DIY, HGTV networks. Award-winning products proudly manufactured USA.",Manufacturing
kuumbamadeCo2,Kuumba Made Inc,Manufacturing (MWD),Natural Botanical Fragrances & Aromatherapy Products,Manufacturing - Vegan & Cruelty-Free,"Began 1980 as one-person passion project, grown to nationally recognized brand. Focus: natural beauty, holistic wellness, self-expression. Vegan/cruelty-free (no animal-derived ingredients/testing). Clean, free of harmful chemicals. Long-lasting scent (one application, memorable impression). Available Amazon and kuumbamade.com.",Manufacturing
WonkyConfections,Wonky Confections LLC,Wholesale and distribution services (MWD),Delta-8 THC Edibles Manufacturing,Food Manufacturing - Cannabis Products,"North Dakota company (4225 38TH ST SW SHOP A AND B FARGO, ND 58104), Minnesota branch (Moorhead facility). Manufactures ready-to-eat human food products containing Delta-8 tetrahydrocannabinol (THC). Relationship with Alpine Hemp (CBD products). FDA warning letter issued July 2023 for product adulteration.",Manufacturing
USTestingEquipment,"U.S. Testing Equipment, Ltd.",Wholesale and distribution services (MWD),Security Screening Technology & Detection Equipment,Distribution & Service - Checkpoint Security,"Established 1995, Pacific Northwest's premier provider security screening systems/technology. Recognized leader in Detection Security market. Works closely with TSA, Department of Homeland Security, Military locations across country. Installation, training, on-going maintenance, repair solutions. Partnerships with manufacturing leaders.",Distribution
NadalieUSA,Nadalie USA,Manufacturing (MWD),Oak Barrel Cooperage - Wine & Spirits,Manufacturing & Importing - Artisan Craftsmanship,"Producing American/Eastern European oak barrels in Napa Valley since 1980. Imports French oak products from cooperages in Bordeaux and Marsannay. Pennsylvania milling, 24+ month seasoning before Calistoga facility. 50%+ artisans producing barrels 25+ years. Acquired Barrel Builders (Napa Valley cooperage). Exports worldwide.",Manufacturing
sumakenorthamericaMT,Sumake North America LLC,Manufacturing (MWD),Industrial Assembly Tools & Pneumatic Equipment,Exclusive Distribution & Service - North America,"Exclusive authorized Sumake distributor USA, Mexico, Canada. President: Michael DeChambeau. Factory authorized repairs, parts, calibration service for all Sumake industrial tools/accessories/torque assembly products. Serves manufacturing, assembly, automotive industries.",Manufacturing + Distribution
voltairesystems,"VoltAire Systems, LLC",Manufacturing (MWD),Thermal Management & Cabinet Cooling Systems,Manufacturing - Industrial HVAC Specialist,"Apopka, FL USA manufacturing. 40+ years thermal management/controls industry experience. Experts in thermal management/cabinet cooling for telecom/industrial markets. One of few providers offering air conditioners, heat exchangers, pressurization units. UL standards compliance.",Manufacturing
aswnorth,Angels' Share Wine Imports LLC,Wholesale and distribution services (MWD),Boutique Wine Importing & Distribution,Import & Distribution - Small Production Focus,"Founded 2004 in Red Hook, Brooklyn by Mark Snyder (music industry to wine distribution). Two regional divisions: Angels Share Wine 'North' (Brooklyn serving NY/NJ/CT) and Angels Share Wine 'South' (Orlando, FL - 1700 35th Street, Unit #109, orders@aswsouth.com serving FL). Focus: small-production, high-quality wines.",Manufacturing + Distribution
magnummarketing,Magnum Automotive Equipment,Manufacturing (MWD),Automotive Lift Equipment Manufacturing,Manufacturing - Multi-Category Lifts,"Manufactures premium automotive lifts for all purposes: residential parking solutions to portable mechanic lifts. Complete offering automotive, truck, specialty lift options. Attractive price point with parts/labor warranty. Quality construction (heavy-duty leaf chain, steel pulleys, high-strength cable equalization).",Manufacturing
vedafarming1,Veda Farming Solutions,Wholesale and distribution services (MWD),Agricultural Equipment Sales - Innovative Farming Implements,Sales & Distribution - Sustainability Focus,"20+ years technical/logistical experience in agricultural market. Salinas, CA (63 Monterey Salinas Hwy). Mission: give farmers great mechanical alternatives to face today's agricultural challenges. Reduce fuel cost, labor cost, environmental impact while increasing production, quality, sustainability. Tractors as central mobile power sources.",Distribution
dcooperworksllc,"D. COOPER WORKS, LLC",Manufacturing (MWD),Metal Fabrication & Press Brake Repair,Custom Fabrication & Equipment Repair - Family-Owned,"Family-owned/operated since 2003, Pennsylvania (Honey Brook, incorporated). Ephrata, PA operations. Press Brake Repair specialist. Custom fabrication, prototyping, problem solving for commercial/industrial community. Partners with companies specializing in custom replacement parts - niche in restoring older/orphaned equipment. Contact: (717) 733-4220. ~5 employees, $808K annual revenue.",Manufacturing
genprollc,GEN-PRO LLC,Wholesale and distribution services (MWD),MULTIPLE COMPANIES - Requires Clarification,PENDING - Likely Cable/Generator or Livestock Equipment,"MULTIPLE ENTITIES FOUND: (1) Gen-Pro Gig Harbor WA - TCERDirect™ cable/accessories manufacturing, SmoothStarter™ soft starters, X-Riser™ gas risers (standby generator/solar/pool/spa/EV charger installations, Made in USA, UL Type TC-ER-JP cable), (2) GenPro LLC - generator maintenance/service (telecommunications/healthcare/government/commercial standby generators), (3) GENEPRO Inc - global reproductive technology (livestock supplies engineering/manufacturing), (4) GenPro Energy Solutions - renewable energy (solar PV/water pumping/purification/LED). Specific 'GEN-PRO LLC' entity requires verification.",Manufacturing
inspiredsciencesllc,Inspired Sciences dba thermabliss,Wholesale and distribution services (MWD),Spa & Wellness Self-Heating/Cooling Products,Manufacturing - Patented Mineral Technology,"20th Anniversary celebration, originally Spa Revolutions. Las Vegas, NV. Inspired Sciences, LLC dba thermabliss. Patented Lava Gel natural mineral energy source (magnesium, iron, salt, water) produces precise heat levels. Mission: empower spas/salons with professional thermal wellness tools making operations more efficient/safe/profitable. Recovers 60+ minutes prep/cleaning/reheating time.",Manufacturing
paladinpower2,Paladin Power Inc,Manufacturing (MWD),Residential & Commercial Energy Storage Systems,Design & Manufacturing - US Veteran-Owned,US Veteran-owned/led. Leading residential/commercial ESS company. 5+ years R&D field testing. $10M+ contracted revenue. Designed/built in USA through strategic JABIL partnership (Tier 1 global manufacturer). Launched 2023 InterSolar and Energy Storage North America Show. California SGIP approved March 2023. Wefunder crowdfunding.,Manufacturing
simplesolutionsandinnovationsinc,"Simple Solutions and Innovations, Inc.",Manufacturing (MWD),Printing Trades Machinery Repair & Wholesale,"Repair, Maintenance & Distribution - Printhead Specialist","Established 1990 in New Britain, PA. Currently Danville, VA (701 Loyal St). Electronic/precision equipment repair and maintenance, machinery/equipment/supplies merchant wholesalers. Printing trades machinery/equipment repair specialization. Website: ssiprintheads.com. Contact: (434) 792-7392.",Distribution
dmitriyco1,DMITRIY & CO.,Retail,Luxury Couture Upholstery - Custom Furniture,Bespoke Manufacturing - Made-to-Order Atelier,"Founded 2011 by husband-wife team Donna and David Feldman, New York, NY. Modern upholstery atelier, timeless furniture design, exquisite craftsmanship. Three generations mastery from Lower East Side NY. Industry leader couture upholstery/contemporary furniture design. Acquired by Restoration Hardware December 2022 to support RH Couture Upholstery launch.",Manufacturing
deltakits1,"Delta Kits, Inc.",Manufacturing (MWD),Windshield Repair & Headlight Restoration Products,Manufacturing & Training - Professional Systems,"Leading manufacturer of windshield repair products. Professional windshield rock chip glass repair kits using innovative easy-to-use system. Certified training, exceptional customer service. Free support (telephone/chat), free technical videos/articles. Exhaustive laboratory/field testing for all resins.",Manufacturing
cathxmedicalinc2,"CathX Medical, Inc.",Manufacturing (MWD),Medical Device Contract Manufacturing - Catheters,"Design, Prototyping & Manufacturing - Zeus Company","Acquired by Zeus Industrial Products June 10, 2021. San Jose, CA. Zeus opened 75,600 sq ft Minnesota facility housing CathX Medical 2023. Single-source contract manufacturer for medical device companies/OEMs. Design engineering services, rapid prototyping, manufacturing, full/sub-assemblies. zeusinc.com/catheter-solutions/.",Manufacturing
equipmentguys,"The Equipment Guys, Inc.",Wholesale and distribution services (MWD),Strength Training Equipment Manufacturing,Manufacturing - Exclusive Brand Producer,"Founded 1995, Newark, OH (185 Westgate Dr, 43055-9313). Exclusive manufacturer of Stray Dog Strength training equipment. Premium brand manufactured in Ohio 15+ years. Weight Room Marketplace and Installation Services. Sporting/athletic goods manufacturing specialization. Contact: (614) 871-9220.",Manufacturing
namusa,"Nationwide Architectural Metals, Inc.",Wholesale and distribution services (MWD),Pre-Polished Architectural Metals & Specialty Fabrication,Supply & Custom Fabrication - One-Stop Metal Supplier,"Founded 1981, 40+ years experience. One-stop pre-polished metals supplier North America and worldwide. Reputation as single-source solution. Contact: 800-851-5053, metal@namusa.com. Design/build customer focus. Patented products.",Manufacturing + Wholesale
officefirstsolutions,OFFICE FIRST SOLUTIONS,Retail,Office Furniture Sales & Liquidation - New & Used,Wholesale & Retail - Full Service Solutions,"Columbus, OH (1665 Westbelt Dr). One of Ohio's largest used office furniture stores. Buys/sells new & used office furniture, cubicles, chairs. Years of experience providing office furniture solutions and liquidations. Services: interior design, space planning, delivery & installation. Contact: (614) 899-2300. Hours: M-F 9am-5pm, Sat 10am-2pm.",Wholesale
technisoilglobal,"TechniSoil Global, Inc.",Wholesale and distribution services (MWD),Soil Stabilization & Eco-Friendly Pavement Solutions,Manufacturing - Nano-Polymer Technology,"Founded 2006 by Sean Weaver. Redding, CA (5670 Westside Road). World-wide leader developing/manufacturing eco-friendly nano-polymer liquid sealers, binders, stabilizers. Patented TechniSoil G5® super-polymer proven on military/tank roads, energy sector roads, wineries, park systems. Innovation in modern landscapes.",Manufacturing
diamondTechnologies,"Diamond Technologies, Inc.",Manufacturing (MWD),Industrial Automation & Data Collection Solutions,Manufacturing & Distribution - OEM Embedded Systems,"Hudson, MA (43 Broad Street, Unit C103). Solutions provider for Data Collection and Automation challenges. Distributor and manufacturer since 1997. Specialized engineers design/manufacture/service customised solutions for OEM customers. Part of discoverIE Group plc. Value-added manufacturing services.",Manufacturing + Distribution
camachocoffee,Camacho Coffee,Manufacturing (MWD),Specialty Coffee Roasting - Small-Batch Air Roasted,Manufacturing & Wholesale - Ethical Sourcing,"Founded 2017 by Jesse and Megan Walters. Columbia, Missouri (4009 Frontgate Dr). Small-batch roaster focused on ethically sourced beans, bold balanced flavor. Fair-trade, single-origin coffee. Unique air roasting technique (smooth tasting, low acidic). Serves 40-50 wholesale clients (cafes, restaurants, offices, grocery stores). Retail tasting room, online ordering.",Manufacturing + Wholesale
coolsealgaskets,"Cool Seal Gaskets, LLC",Wholesale and distribution services (MWD),Commercial Refrigeration Repair & Gasket Services,Service - Veteran-Owned Specialist,"Founded by Anthony Ricciardo (former USMC Sergeant). Orlando and Kissimmee, FL (210 N Goldenrod Rd Ste 9B, Orlando). Veteran-owned company specializing in commercial refrigerator repair and gasket replacement. Free on-site inspection. Serves restaurants, hotels, supermarkets, medical facilities.",Unclear
antares,Antares Health Products,Manufacturing (MWD),Pharmaceutical Grade Vitamin E TPGS Manufacturing,Manufacturing - cGMP Certified Facility,"Sole US manufacturer of vitamin E TPGS. Supplies customers internationally including global pharmaceutical companies. cGMP manufacturing facility compliant with EU GMP Part II, ICH Q7, ISO 9001, ISO 14001, ISO 45001. Regularly inspected by US-FDA, Italian AIFA, Japanese PMDA. Leading supplier for pharmaceuticals, dietary supplements, food/beverage, personal care, animal nutrition.",Manufacturing
gitchsportswearCo1,Gitch Sportswear,Wholesale and distribution services (MWD),Custom Sublimated Sports Apparel & Team Uniforms,Manufacturing - Custom Design & Sublimation,"Established 2009, Toronto, Ontario, Canada. Sublimation sports apparel company that sells/designs customized team logo jerseys, uniforms, hats, bags. Low minimums, affordable price. Client base: sports clubs, schools, coaches, first responders. Corporate/events custom branded promotional products.",Manufacturing
methodmobility,MOBILITY PLUS VA LLC,Retail,"Mobility Equipment Sales, Rental & Service - VA-Approved",Distribution & Service - Veterans & Disabled Focus,"Founded 2007. VA-approved provider serving disabled veterans and aging Americans with disabilities for 15+ years. Serves VA patients and government employees. Relationships with top US mobility equipment manufacturers. Multiple locations. Complete sales, service, rental options. Prompt delivery, fair prices.",Distribution
apdminc,"APDM Wearable Technologies, Inc.",Manufacturing (MWD),Wearable Motion Sensors & Digital Health Technology,Manufacturing - Clinical Research & Healthcare,"Founded 2007 by Dr. James McNames, Portland, Oregon. Acquired by ERT in 2020 (now part of Clario). Digital health company offering Opal IMU sensor-based solutions for quantifying human movement. Trusted by 1,000+ researchers, featured in 700+ peer-reviewed publications. Medical-grade wearable sensors, digital biomarkers for clinical trials.",Manufacturing
ct,Centanni Tile Inc.,Wholesale and distribution services (MWD),European Tile & Stone Importing - Premium Ceramics,Import & Distribution - Western Canada,"Burnaby, British Columbia (3737 Napier St). Tile & Stone importer servicing Western Canada. Curated selection of unique European-imported ceramics and porcelains from Italy, Spain, worldwide. Distributes complete line of Laticrete Installation materials & Miracle Sealants Products. Supplies high-end homes, restaurants, hotels, spas.",Distribution
chalmersford,MHQ of Arizona,Manufacturing (MWD),Emergency Vehicle Equipment & Upfitting,Manufacturing & Service - Turnkey Solutions,"Family-owned business with locations in Arizona and New Mexico. Serves western law enforcement, fire services, public works, highway departments, housing authorities, utility companies, environmental safety, emergency medical services. Streamlined team-build approach. Service area: NM, AZ, TX, CO, UT, NV, CA and beyond.",Manufacturing
artemisbiosolutions,Artemis Bio-Solutions LLC,Manufacturing (MWD),Bio-Technology Decontamination & Remediation Solutions,Manufacturing - Sandia National Labs Licensed Technology,"Founded 2013, Wood Dale, Illinois. Bio-technology company offering next generation extremely safe decontamination/disinfection/deodorization solutions with high effectiveness and unprecedented efficacy. Predecessor introduced patented Sandia National Labs DF-200 formulation to insurance/restoration industry. Supplies international customers.",Manufacturing
enzusainc,ENZ USA  INC,Manufacturing (MWD),Sewer & Pipe Cleaning Equipment - Water Jetting Technology,Distribution & Manufacturing - Swiss Engineering,"Aurora, Illinois (1585 Beverly Court, Unit 115). US subsidiary of Swiss company established 1985. 95% products developed/manufactured in Switzerland. Worldwide leader in sewer/pipe cleaning equipment up to 36,000 PSI. Serves 50+ countries. Subsidiaries: Germany, Sweden, UK, USA.",Manufacturing
jafedecorating,JAFE Decorating Inc.,Manufacturing (MWD),Custom Glass Decorating & Candle Fulfillment,Manufacturing - Commercial Glassware Decoration,"Founded 1978, Greenville, Ohio. Industry leader in commercial glassware decorating for 40+ years. 67,000 square foot facility with 4 state-of-the-art robotic spray lines. Serves candle, skincare/beauty care, beverage/spirit markets. USA-made, eco-friendly glass decoration services. Member National Candle Association.",Manufacturing
photovaclasercorp,"Photovac Laser Corporation, Inc.",Wholesale and distribution services (MWD),CO2 Laser Repair & Remanufacturing Services,Service & Remanufacturing - Global Third-Party Provider,"Founded 1994, Grove City, Ohio (3513 Farm Bank Way). Leading provider of CO2 laser repair/remanufacturing for all major laser/engraver brands. Global reach: North/South America, Europe, Asia. Premier service firm supporting aerospace, automotive, electronics manufacturing, packaging, medical device fabrication, scientific research. President: Christopher Zelich.",Manufacturing
swsgroup1,SWS Detention Group Inc,Wholesale and distribution services (MWD),Correctional Facility Equipment Distribution & Contracting,Distribution & Installation - Canadian Market Leader,"Founded 1999, Winnipeg, MB (1-2120 Notre Dame Ave). One of most successful Canadian providers/distributors/contractors of intensive use products/services nationwide. Factory Certified Detention Equipment Contractor. Exclusive distributor of Norix Furniture in Canada. Serves correctional facilities, behavioral healthcare, education, transitional housing.",Distribution
