Title,Description,Estimated Difficulty,Solution,# of Requests,# of Accounts Req.,# of Users Impacted,Value,Tags,Note from Product
Customer Referral Program - Link a Customer to another Customer / Lead,"Customer who is looking to move from CopperCRM to Method asked to get a quote on the following:

1. Ability to relate customer lead to customer. This is for tracking purposes. Their actual customers are distributors. Through Method, they want to enter end consumer as lead and link this lead with their actual customer (distributor).

2. Ability to relate one contact to multiple companies; without entering the same contacts for multiple times. i.e John Smith is a contact for Method:CRM HQ John is also a contact at Method:CRM Vancouver. A way to have a field on Contacts screen to tell users that John smith is a contact for two different locations. 
 
3. Custom field to capture customer type i.e distributor, engineer

4. Ability to limit activity type selection - whenever their user is creating an activity in Method, the activity type dropdown will only show certain values; depending on the type of customer i.e distributor, engineer, etc. 

5. Add value dropdown to activity; allowing users to quantify the importance of each one of the activity and to ultimately being able to run a report based on its value",Medium (5-10 hours),"1.  Relating customer lead to customer  - Create a dropdown on the entity table based on customer fullname. - bring over to new contact, view contact, and edit entity screen (30-1.5 hours)

2. Create new table that's linked to the contact table have a dropdown for Entity Name. Create an editable grid and place it on the view contact screen (1-3 hours)

3. Create a dropdown on the customer table, and place it on the entity table then show it on New, view, and edit entity screens. (30-1.5 hour)

There's also a customer type dropdown in QB that comes over to method. If they use this, it will be 0 hour customization

4. Create another field on the activity type table with different values. Add a field to the entity table for what type of data they want to show. Set the field to show on the new contact, view contact, and edit entity screens. Link this field over to the activities and add selection criteria to the activity type dropdown to show certain data.  (1-3 hours)

5. Need more info here about the report. Adding a dropdown and bringing it onto the screen is 10-30 minutes. Report time depends on what you need.",5,4,4,"1,200.00",,
Automatically Adding New Leads to an Email Campaign - Submitted by Web Form or New Contact,"A lead coming from a  web-to-lead needs to be inserted to a scheduled campaign 
These campaigns need to be automated to sent out as scheduled.",Medium (5-10 hours),"If the customer is okay with an email campaign being sent out at a fixed time everyday (8-10am for example), than you can move forward by creating a daily scheduled app routine that checks against a specific date/time 'CustomField1'  to see if it CustomField1 = Current/Date Time. If it is, then send out the email campaign. 

Any custom field or tag can be used as a 'Flag' to insert the contact into an email campaign. ",5,5,12,"6,000.00",,
To auto-assign Ref Number on SOs and mark them WaitforSyncApproval as they cannot sync with QBO,"This customer is migrating from QBDT to QBO and want to check on the estimate time/cost associated with this request.

They heavily depends on Sales order in QBDT but after migration they wont be able to sync SOs to QBO.",X-Small (1 -2 hours),"This could be quite simple.

Change SO RefNumber to be RecordID Based (Always generated right away).
Mark as wait for sync approval.

If custom numbering is requested the estimate will be larger, however still manageable. ",5,4,47,"27,000.00",,
Multi-currency = to one currency on report,"I have a customer in Singapore who has multi-currency enabled in their QBO. Is it possible when they look at the Invoice Report to convert InvoiceTotal chart to show conversion from CNY, CAD, JPN etc all into USD?
From Nelson: FYI I believe the currency action calculates exchange rate for that date. So if you were to loop through invoice and calculate exchange rate, the date on the transaction is used to set the rate",Small (3 -4 hours),"This is doable but we will need to be cautious of Accounting Closing Dates as well as Invoices from prior fiscal periods that have taxes applied. This sounds like a small project. However, scoping is required to understand more but we may need to present the information a bit different than what the customer is envisioning.",5,5,15,"4,800.00",,
Ability to have multiple customers for one contact.,"The customer would like to know if there is a way to display to one single contact and the companies they are linked to. I know for now we can have multiple contacts under one customer, customer would like a way to have multiple companies under one contact.
As some of their contacts have many businesses.",Should not be customized,"Short answer: Not possible the way they would want it to work due to how deeply rooted Contacts are in Methods out of the box workflows.

Long answer: Possible via customization, HOWEVER, it won't work or flow the way they may expect. If Mikaela has multiple businesses and appears multiple times in Method, which Contact should be selected when an Activity is logged? Do they expect to see and select only 1 Mikaela all the time or are they expecting each instance of Mikaela to appear anytime they perform a search? Additionally, how do they expect the portal to work? Same questions as above, only login as 1 Mikaela to see portal for all related businesses, or each portal for each business has it's own unique link/login Method for Mikaela?

It's not a simple concept to work through, but if they talk to PS we can have a discussion about it.

First, I would start by having the customer use Method as is by entering a contact for Mikaela once per Business. Use Method and all it's workflows, use the portal, etc. Does this work for them? Or do they expect to only see and work with 1 Mikaela across Method forever.",5,5,22,"9,600.00",,
Send automated email when Lead is added through API in Method,Customer would like to know if is it possible to send out email to customer as well as to User when a lead received in Method from website through an API.,X-Small (1 -2 hours),"As of right now, there's no way to trigger an event via the API but this is something the Product Dev team has discussed implementing, no ETA.

Other than that, the only option would be to run a scheduled app routine once per day that sends out this email automatically. For example, at 10pm everyday send an email for any Leads inserted via API that day.

This custom app routine solution will also require the API integration to insert data into other Method fields, such as a new 'IsCreatedViaAPI' and setting it to TRUE whenever a new API Lead comes in. Or we can use LeadSource and create a new dropdown option for the API Leads.",5,5,35,"20,400.00",,
Work Order Templates - Pre-built Work order with items using Work Order Types,"The customer has a few standard services that includes 5 - 7 items. Adding these items constantly is inefficient for the customer. They would like to have pre-built templates based on Work Order type, that the technicians or dispatchers could use to pre-fill the work order faster.",X-Small (1 -2 hours),"Small to Medium Customization depending on the complexity

1.) Create a table for Work Order Type
2.) Create a secondary table for Work Order Type Lines
3.) On the work order, when the work order type is selected, add all of the lines in the stored template into the work order. 

This could also be further automated by creating a simple button that says:
- Create Tree Trimming Work Order
- Create Landscaping Work Order
- Paint 1 Bedroom Apartment  etc.",5,5,10,"4,200.00",,
Mapping - The ability to calculate distance between 2 points  - Track Transportation Costs - Calculate Transportation Costs,Client is looking to calulate transportation costs. An important part of this is the ability to calculate mileage between work orders or shipments.,Medium (5-10 hours),"API Integration Required

Eg. 
We've used ZipCodeApi to calculate distances - but it requires subscription and the various locations. You can then cycle through the various warehouse locations, compare distance, determine the smallest one and then use that against a preference transportation per mile amount.

Could even use the preference initially but give the user ability to override the transportation amount per mile manually",5,5,34,"16,800.00",,
QBO Improvement - Sync with Customer Language Preference,"A lead came into Method looking for support for the Customer Language Field available in QBO Global. 

This field helps determine the preferred language of communication for customers. 
This customer served both English and french speaking customers in the US and Canada. 

Lead List
admin@doggo.bike",Cannot be customized,At this time this will need to be a sync improvement - not possible via customization.,5,5,6,"1,200.00",,
API Integration Trello - Creating a Lead from a Card,Customer is using Trello Cards. They want information from Trello cards to flow into customers or customer leads once the customer is ready for a formal estimate.,X-Small (1 -2 hours),"ZAPIER INTEGRATION -- Always requires a lot of testing, this could make the setup longer of shorter.
With all api integrations or zaps. We should always plan for lots of testing as use cases can change over time or the data model can change over time.  

This integration is quite simple; however, there are a couple of pre-requisites. 

1.) In order to create a lead in Method, you need two fields Name & First Name
2.) The trello card must contain this information
3.) Then you can select a trigger, let's say when the card moves from one stage to another
4.) Use the 'Search Method' action, Method can then search by either Fullname or Email to see if this lead will be a duplicate
5.) If the answer is no, in this zap you can also trigger it to create the lead when no match is found.",5,5,20,"1,200.00",,
Import Improvement - The Ability to Import without being an Admin - Non-Admin,"The customer contacted us for assistance with importing leads into Method due to the sales rep needing admin permissions.  

Ideally, I would love my sales reps to be able to import their own leads from excel or tradeshows. 
While keeping their data organized in the CRM.",Cannot be customized,"At this time, this cannot be customized but a very valid flow.",5,5,98,"58,800.00",,
Time Tracking - Time Tracking App Ribbon on Contacts,"The customer is looking for an easy way to look up time for customers.

It will easy for the user to access the Time Tracking and see the details. As other apps are displayed in the app ribbon therefore it is good option to have Time Tracking app available.",Should not be customized,"Since the time tracking app is a stock app, this cannot be customized. 

However, in theory, we could create a custom app called 'Time', then create an app ribbon for the time tracking table, and re-direct the list entries etc. to the Time Tracking App.",5,4,63,"7,200.00",,
App Management - Ability to Rename Stock Apps & Related Screens,"It would be ideal to have a way to rename stock screens and even more ideally that when certain wording is changed - that it also changes the wording on each of the associated screens. 

Use Case: Looking to change over the wording of ‘Estimate’ to ‘Quote’. This entails going into each screen and updating it to Quote - potentially creating a new app to change the wording on side bars. Email template updates, guest screens and reports.",Cannot be customized,Cannot be customized.,5,5,38,"22,200.00",Team_-_Impact,
Billing - Support for handling Method Subscriptions with Visa Debit,"Ability to accept Debit Visa as a payment method. Currently, these cards are declined at the time of subscription. 

Causing motivated users to churn / not subscribe.

Method currently only accepts Credit Cards outside of the US and with our efforts to grow in the UK and AUS market, having more options to receive payment would be beneficial. 

Robert uses a debit visa for his small business and this is standard practice in AUS. 

We currently do not accept Debit Visa and have no alternative options, though the customer is willing to direct deposit, Etransfer, or wire transfer to commit to his Method subscription. 

The only option is to sign up for a credit card.

This experience is sub-optimal for both the client and Method, we should always have options to take subscriptions from the willing.",Cannot be customized,Cannot be customized.,5,5,6,600.00,,
Contacts App Improvement - Notification when Customer or Lead is assigned,"Hi, I want to a new email alert for every time a lead or customer assigned to a new team member. The goal is for the new team member that gets a the lead assigned to them gets an email informing them that they have a new lead or customer.

Keywords
Contacts Notification
Contact Notification
New Lead Notification
New Customer Notification
New Vendor Notification",X-Small (1 -2 hours),"This is certainly possible with customization.

Without customization, the user could manually create an activity related to that customer then assign the activity to that individual and notify them about what they would like to do with that lead or customer.

That said, the flow above can also be automated to notify any number of users that a new lead or customer needs their attention",5,5,17,"7,800.00",,
Approval Permissions - Force On Wait for Sync Approval OFF Transactions,"We never want payments to be prevented from syncing to QuickBooks. This box to should be hidden from the sales rep view. This is our means of ensuring everything is always going to QuickBooks.

Especially payments!",X-Small (1 -2 hours),"This is pretty easy to customize here are the areas I would focus on:

0.) Always best to create an app preference to control on a transaction by transaction basis. 

1.) Contacts -  Customers & Customer Lead Flow
2. ) Transactions - Wait for Sync Approval update on Customer Change
3.) Conversion buttons to always make wait for sync false (Likely create a preference in order to manage this better in the future)
4.) Guest Payment Pages",5,5,22,"8,400.00",,
QR Code for Work Orders,"Customer is looking to generate a QR code based on information on a work order.
Ideally, they would love to print a work order with a QR Code, that the customer could scan and look up. 

This could be on a business card or work order.",Small (3 -4 hours),"Yes, this is certainly possible there would need to be two steps:

1a.) We need a page to take the customer, this could be a public page where they can submit new workorders. 
1b.) This could also be a portal page where they can manage work orders. Both options are possible 
2.) Lastly, we would generate a MIURL on the  The QR Code generation, this could be done by creating a MIURL for the work order for the page options in (#1). The customer could then scan and navigate directly to those pages.",5,5,27,"7,800.00",,
Ability to compare the initial amount in an opportunity to the final invoiced amount in the Opportunities App,This client would like to have the option to see a comparison between the initial amount that is defined when an opportunity is created vs the final amount in which the items are sold when an invoice related to the opportunity is created since sometimes this amount is below than what was initially defined.,X-Small (1 -2 hours),"This is certainly customizable. 

Ideally the Opportunity Amount would not change.
When the invoice is created and linked to the opportunity we can run an app routine to calculate the difference between the invoice amount and the opportunity amount.

The same could apply for estimates or any other transaction.",5,5,16,"7,200.00",,
Batch Printing - The ability to batch print invoices - Batch Print Transactions,"The customer creates a delivery note template, now they want to add a print in batch option to the invoice screen.  they have added a check box and now they want to have a button that can print the batch Invoices after selecting them.

chat link: https://app.intercom.com/a/inbox/a4b5qk7m/inbox/view/57922/conversation/18585500531168?view=List",X-Small (1 -2 hours),"Yes, this is certainly possible:

1.) Add checkboxes to the invoice grids
2.) Add a new button to generate report, pass it a list of invoices from the grid using the recordID field.",5,5,7,"1,800.00",,
Loyalty App - Rewards App - Customer Points App,"Customer is looking for a Rewards app that's supported by the QuickBooks Sync.
Ideally everytime a customer spends a $1 with their company.

They want the customer to earn a points. 
The customers can then use these points to redeem items and services. 

The customer wants to do the following:
1.) Tier off customers based on their lifetime value (Platinum, Gold, Silver)
2.) Allow their team to add and remove points
3.) Automatically calculate points based on paid invoices
4.) Have all sub-customers report to the parent for points
5.) Build a redemption system that would flow into QuickBooks as a credit memo. 

Furthermore, they would like to be able to modify point balances for other tasks like:
1.) Following Instagram or Twitter
2.) Updating their saved payment information
3.) Updating their contacts and phone numbers in the CRM",Small (3 -4 hours),"In theory the scope of the application can change but this is certainly something we can customize.

1.) Create an app routine to calculate points on invoices once paid
2.) Calculate and automatically categorize customers
3.) Provide a central location to manage points per customer

Depending on the nature of the customization and testing this could take longer or shortly but 3-4 hours is a reasonable estimate to get this project off the ground.",5,5,7,600.00,,
Estimate Improvement - Show the Signature on the Estimate,"The customer was saying that previously he was able to see that signature on the Estimate screen, the link 'View signed PDF' is new to him. He says that he doesn't want a new screen to pop up just to show the signature.

The value of seeing the customers signature is so important.
Having to click another link to go to another place is just a waste of time.",X-Small (1 -2 hours),"This is a very simple customization, we can drag the signature widget on the screen and simply just show hide it if signed. 

I agree with the customer, the signature is just so important to see - the link just makes no impact on the experience.",5,5,40,"24,000.00",,
Send Email Action Improvement - Ability to change the 'reply to' address where it differs from the sent 'from' address,"The customer is looking to set a different reply to the email address than the sending email address. 

For example, the send-from email is [+shea.drennan@1g.coolsys.com+|mailto:shea.drennan@1g.coolsys.com] and the reply to address is [+shea.drennan@coolsys.com+|mailto:shea.drennan@coolsys.com].

They mentioned “This is the same as if I send out a marketing email and have 'donotreply' as the return address. We are having to use a more refined subdomain for security purposes on the outbound side“.

Would be great if we could have this ability.

Keywords:
ReplyTo
Reply To Email
To Email
From Email
Reply Email
Email Reply To
Email ReplyTo",Cannot be customized,At this time there is no way to differentiate between the sending email address and the reply to email using customization.,5,5,59,"35,400.00",Team_-_Impact,
The ability to import attachments - Bulk Attachment Import,"Can we customize an import tool to mass-upload attachments (PDF).

Currently the customer invoices outside of QuickBooks. 
The invoice is pushed into QuickBooks using a 1 direction push.
Rather than having to do this, they would like Method to capture the signature, approve the invoice, and send it to QuickBooks; however, they have an additional attachment they wish to bring in.  

Is there a way to bulk upload attachments based on invoice.",Cannot be customized,"Importing attachments seems like a pretty daunting task. Personally I wouldn't understand where we could ever design a system to do this elegantly. 

That said, if they wish to bring over historical transactions from a 3rd party system, they can certainly use our file endpoint via our API to do this.

More information on this API Endpoint is available here:
https://developer.method.me/#tag/Files",5,5,9,0.00,Team_-_Impact,
Report Summarizing Customer information in a central location - Report on Multiple Tables,"I would like to build a report that pulls data from multiple tables:
Activities
Work orders
Invoices 
Payments 

By Customer

So I am able to review and report on my company performance year over year.",Small (3 -4 hours),"This is certainly possible, the reality is the scope of the work can vary and report designer isn't necessarily required:

In theory, we could create a few custom fields to summarize and store information about customers.  Then use that information for reporting. 

However, if a detailed breakdown of each table 'aka' a version of a verbose breakdown of each event is required, this will likely increase the scope of the customization and make it more complicated.

For example, if the customer wishes to keep a physical record summary for each customer every year. This would need to be designed for their specific needs.",5,4,31,"18,600.00",,
Explicit URL - Search URL - Parameterized URL - Endpoint URL,"The customer would like to be able to search using endpoint URL.

Their request : Does MethodCRM have a search endpoint URL? For example I can build a google search URL by changing the last word in this: https://www.google.com/search?q=methodcrm I would like to do something similar where I am appending a phone number to a MethodCRM URL so I can link into a customer's account easily. So my question is, can I search methodCRM using a URL like that which includes a phone number.",Cannot be customized,This cannot be customized.,5,5,17,"8,400.00",,
Invoice App Improvement - Invoice Email Automation - Automatically Send Emails for Invoices Created in QuickBooks,"Customer is looking to use Method Specifically for our customer portal. 
Invoices are created in Quickbooks are sync'd to Method.

Once the Invoice is available in method, can we customize an automation so that invoices created from QBooks are automatically emailed when QBooks syncs with Method?",X-Small (1 -2 hours),"Yes this is certainly possible; however, this automation would need to be scheduled 1x per day. 
or alternatively, be triggered when a user interacts with a screen (eg. Everytime the Invoice List Loads in Method, check for outstanding invoices and send)

How I would design:

1.) Keep track of the 'Last Activity Date' on an invoice for 'Email outgoing'
2.) If the Last activity is blank
3.) Copy the Email Button Into an app routine
4.) Loop through invoices that don't mee the afforementioned criteria and send the email.",5,5,36,"19,200.00",,
Contacts App Improvement - The ability to mark contacts as Inactive,"I currently work with 10-15 customers. 

They constantly have people coming and going and I love keeping track of all the contacts.
The issue is my list is now up to 115 contacts, where not everything is working at that company anymore. 

I want to keep their information in the CRM; however, I don't want these contacts to appear in lists and dropdowns like activities because, I won't be creating activities for them any more.",X-Small (1 -2 hours),"This is certainly customizable:

1.) We can create a checkbox field on the contact table for 'IsInactive'
2.) Then filter all the screens where the 'Active' Contact list should show to only include Active Contacts. 
3.) Alternatively, the same thing can be done with tags, where filters are updated to not include a certain tag.",5,5,20,"12,000.00",,
Integration with Asana,"Customer currently uses Asana for Project Management.
They are interested in an integration if we cannot offer a Project Management solution.

How difficult is this?",X-Large (30 + hours),"Zapier is available for some aspects of Asana and therefore, depending on their needs could be a quite simply just a zap.

However, more robust integrations could leverage the asana API:
https://developers.asana.com/reference/rest-api-reference

Asana does have a number of endpoints, so the nature of the integration will need to be reviewed in order to provide an accurate estimate.

As with all API integrations, time is required to explore and determine if an integration is possible.",5,5,25,"12,000.00",,
SMS Improvement - Send using a specific number,"I would like the text to come from my technicians phone directly.
The customer can then interact with the technician directly about the status of their visit.",Cannot be customized,"Cannot be customized.

The best option is to include the phone number in the Body of the SMS.",5,5,20,"11,400.00",,
Syncing with Payroll Fields/Hide Fields,"The customer would like to be able to display fields that are currently available in the employee table. Employees are available for view under the Shared-Active Contacts view in contact list but they aren't able to see all the data. Specific for example would  fields  vacation rates, pay rates etc. If it's not possible to sync with them maybe the best option would be to hide them.",Cannot be customized,"At this time there is no support for Payroll or Payroll fields. 

Including Cheque signatures and generation.",5,5,6,600.00,,
Ability to Capture Multiple Signatures - Technician & Customer  - Work Order App Improvement,"My Client would love it if we could also have a technician signature on the Work Order. 

The reason being that their work orders require 2 people to sign as proof of completion; the Technician and Customer. They then send a signed copy of that Work Order to the Customer when they Invoice the Customer for the Work Order.",X-Small (1 -2 hours),"Signatures need to be treated like related records (Think of Customers & Contacts)

1.) Create a separate Technician Signature table to store the Technician signature that has a Work Order dropdown
2.)Add a Technician Signature Url field to activity table
3.) Create a Technician Signature Page with Signature Table that has a signature widget
4.) Create a button on the Field Crew View Work Order, to go to that Signature page with the current Work Order
5.) When the Signature gets signed, Save and update the Technician Signature Url on the Work Order",5,5,67,"39,600.00",,
Work Order Improvement - Support creating work orders for non-service - Convert Estimate to Work Order using Inventory Items,"Customer uses work orders for delivery.
Estimates, may only include inventory items. 

We prevent work orders from being created when there is no service item list.",Available in Stock Functionality,"This is 100% customizable.

It's just a simple filter on create.",5,5,33,"16,800.00",,
QBO Transaction Improvement - Support for Tax on Shipping Item,"QBO lets you place a tax on shipping however method does not. This field actually is not available to sync with via QBO API. It will be great to have this feature in Method as well. In Method, you can only enter the shipping amount, but cannot add shipping tax to it.

QBO Transaction Improvement - Support for Tax on Shipping Item",Should not be customized,"While this can be customized it may lead to discrepancies on how tax is presented in QuickBooks. 

In theory, we should handle this in product.
Via customization, we can calculate the tax; however, this does require calculation.
Taxes to be stored in Method and to be managed in Method.

Depending on the size of the client this customization may be a difficult one to justify.",5,5,21,"9,600.00",,
Portal Access -  Provide access to multiple customer for the same email,"Our user works with buyers that represent multiple customers in their database. 

At the moment, the customer portal provides access to the customer account with the highest record ID. 

Would it be possible to provide a more comprehensive portal for email linked to multiple customers?",Small (3 -4 hours),"This can be customized to a degree:

1.) Allow the user to login with any email
2.) On screen load, create a list of EntityRecordIDs that email is associated with will 'Billing Access' or 'Opt out of Billing' = False.
3.) On each screen, provide a dropdown list to all the 'Entities' that email address has access to.
4.) On Selection change the contact recordid / entity recordid on screen to match the selection
5.) Write the EntityRecordIDList variable to a shared result, and have that information consumed on screen load / focus of every screen on the portal",5,5,12,"6,600.00",,
HIPAA Compliance,"The Health Insurance Portability and Accountability Act of 1996, commonly known as HIPAA, is a series of regulatory standards that outline the lawful use and disclosure of protected health information (PHI). HIPAA compliance is regulated by the Department of Health and Human Services (HHS) and enforced by the Office for Civil Rights (OCR).",Cannot be customized,At this time we're not nor do we have immediate plans to be. That said let's use this +1 to track requests.,5,5,6,0.00,,
QBDT Sync Improvement - Preferred Delivery Method Field,"Feature Request: A customer (TwoBettys) has requested this field (Preferred Delivery Method) to be provided in method so his sales reps can adjust how the customer would like to receive their invoice information.
Upon investigation, this field is not available in Method but is available in the Quickbooks SDK v12.0:

https://developer-static.intuit.com/qbSDK-current/Common/newOSR/index.html
I've set this ticket to high, to get yes/no answer for the client. 
Depending on your answer, we can adjust the priority accordingly.",Cannot be customized,Cannot be customized at this time.,5,5,31,"15,000.00",,
Branding and Color Pallette for Web to Lead - Have own color palate for the Web Form,The customer mentioned 'is it possible to change the colours used in the Form Editor to try and fit it in with our website? I see a list of default colours but would like to have our own colours.',Cannot be customized,"Color palettes cannot be 100% customized.
However, HTML can be used on the form to change some elements, not perfect.",5,5,6,0.00,,
Tags under companies tab,The customer would like to know if they can add the tags column under the companies tab. Currently out of box that is  only available for contacts.,X-Small (1 -2 hours),"Possible;

1.) Add the taglist field to the customer table
2.) Show the taglist field on the Edit Company screen",5,5,9,"4,200.00",,
Estimate Email Status on Estimate Grid,"User would like the ability to see if an estimate has been emailed or printed on the estimate grid. 

In additions, they would love to see the status of the estimate email",X-Small (1 -2 hours),"Simple to Customize. 

1.) We can use the QuickBooks checkbox fields and show that
2.) We can design a new field to highlight the last time the user clicked 'Email' or 'Print' and autopopulate the email status.",5,5,14,"5,400.00",,
Payment Preference - Ability to turn off partial payment option in the portal,"The customer would like the ability to toggle the partial payment option On/Off.
Currently if you don't want to see that option you have to customize the screen and hide the field.",X-Small (1 -2 hours),"Easily customizable.

We can just hide the checkbox on screen.
Ideally would love this to be an app preference our users could configure.",5,4,6,"1,200.00",,
Outlook Gadget Improvement - Ability to keep the Outlook Gadget Open,"The customer mentioned that at the moment, I have to click the method gadget every time i want to add an activity.

Would it possible to keep that up and running and do the automatic search according to the email open.",Cannot be customized,Cannot be customized.,5,5,17,"3,600.00",,
Ability to accept more than one deposit on Estimate,"Is it possible to collect more than one deposit on the Estimates?

We need to have the balance paid in full before we book a work order, so we must take multiple payments for the estimate. This is how we discovered the big balance issue in estimates",X-Small (1 -2 hours),"Rather than collecting deposits, we might want to explore a partial payment flow. Since this flow out of the box will support multiple payments. 

In theory, we could collect the deposit, skip the work order, create the invoice. Once the invoice is fully paid, then create the work order. 

But this would need to go through additional scoping to better understand what workflows.",5,4,25,"15,000.00",,
Automatically updating invoice assign to based on the customer assign to,"User utilizes the 'assign to' at the customer level to designated sales reps on the account. 

When invoices are created from QBooks, the assign to information is empty. 

They would like to create an automation where all invoices default to the assign to currently linked at the customer level for reporting and commissions.",X-Small (1 -2 hours),"This can be customized using an app routine that runs nightly or at a button's press / screen load.

Basically go through all invoices if the assignedto = Empty, check the customer for who it's assigned to and update.",5,5,18,"4,200.00",,
Audit Trail Improvement - List History of Exports,"Customer is looking to determine if anyone has recently exported their contacts list. 
Ideally they would like to have an audit trail there are a couple of reasons:

1.) They want people using the CRM data
2.) They want to make sure users are only interacting with customers using the CRM",Cannot be customized,At this time this cannot be customized.,5,4,32,"19,200.00",,
Estimate to Opportunity,"Some opportunities start right from the Estimate stage.
Creating a Lead, Estimate, and Opportunity all in one go is just too much manual work. 

Ideally, if there is an estimate created, and opportunity should be automatically created and linked to the estimate. 
  * When an estimate is created, we want to automatically create an opportunity
     * Customer carries over
     * Assigned to carries over
     * Opp name should be Customer + Estimate Ref #
     * Stage - Start at 50%
     * All updates on the estimate should also flow to the opportunity. 

The Opportunity will then be the central place to manage the deal / create another estimate if required as well as capture why the deal was closed lost or won.",X-Small (1 -2 hours),"Certainly Possible.

Updating both transactions when changes are made could be difficult since you could have multiple estimates linked to an opportunity. 

However, this workflow is viable if you're trying to use opportunities to capture estimates and the production work. 

Testing is the hardest component and keeping the two transactions in sync.
Otherwise smooth customization and possible.",5,5,20,"10,800.00",,
Ability to Convert Invoice to Purchase Order for Multiple Suppliers,"The customer is looking to convert an invoice into a purchase order. 

Their workflow:  Sales agent creates an estimate for the customer, and if the customer agrees to buy, they  create an invoice from the  estimate.

They also wants to be able to create a purchase order directly from the invoice, rather than having to switch to the estimate screen(Currently they have feature available to create PO from estimate). This will help streamline their workflow and avoid unnecessary screen switching.",Catalog Entry Available,"Catalog Entry is now Available

----------
1.) We would user preferred vendor on the item to update the default option
2.) We would create a custom field on the line item table to track the vendor
3.) We would create a custom field to link the SOLine to POLine
4.) Then we would create a simple button to then create all the POs

This process is custom and will require a lot of testing but certainly possible.",5,5,12,"6,000.00",,
Reorder Improvement - Ability for Parent Customer to Reorder,"User works with many franchises and oftentimes, the head franchisor would need to reorder replenishables on behalf of the sub-customer (franchisee). 

Can we customize the  Re-order workflow to enable parents customers to make orders on behalf of the subs?",X-Small (1 -2 hours),"This is possible; however, a change like this may require that all the portal pages are updated to support parent interacting on behalf of the children.

There is a similar Feature Request for this. 

However, if the goal is just the re-order flow, we could simplly expose, the customer dropdown on the re-order page.  Have the portal user indicate which child the re-order is for and submit it accordingly. Extensive testing should be done to make sure the desired results are output.",5,5,10,"5,400.00",,
QR Code Support for Asset Tracking,Customer is looking to generate QR Codes to keep track on assets  / items.,X-Small (1 -2 hours),"This is certainly customizable, remember a QR Code is a just a visual representation of a URL.

1.) First you need to determine where to take the user? Is this a specific item in the item app? is a specific app? Once, you have the link, you can plug that into a QR Generator.

2.) With the QR Code, you can now stick it on the asset / item and scan it. 

3.) This will then open Method using the webbrowser navigating to to the page specified in option #1",5,5,14,0.00,,
Ability to connect to a physical pos system,The customer has a physical  pos system in their showroom and wanted to know if there was a way they could connect to the payment gateway in Method to receive payments.,Cannot be customized,"A POS System would need to be manually integrated and customized with Method. 

There are hundreds of POS systems and vendors. Many have unique requirements including integration with hardware components. 

At this time Method does not have a preferred POS partner or POS solution we support / recommend.",5,5,19,"6,600.00",,
Data Enrichment - Looking to fill customer data in,"Customer works with a  number customers and leads, and would like to have their data enriched by method or a 3rd party source.

Zoom Info integration may be an option.",X-Large (30 + hours),"This can be customized; however it does require a subscription for an enrichment service that does have API capabilities.

Zoom Info
Full Contact 
etc. 

Are all options to achieve this.",5,5,27,"13,800.00",,
VOIP Improvement - The ability to sync contacts from VOIP to Method and vice versa.,"Although this might be a request for the team at Zapier, today, having Method contacts show up via calling ID  for Ringcentral is not a possibility via Zapier.",Cannot be customized,Cannot be customized.,5,5,7,"3,000.00",,
Ability to Convert Multiple Purchase Order to Invoices,"Our user plays the middle cog between Customer and Manufacturer. Their workflow is generally, estimate approval  to Purchase Order to Invoice. 

Can we customize an option to turn a PO into an invoice?",Small (3 -4 hours),"This is possible, we would loop through purchase order lines and create the invoice per customer on the line.",5,5,7,"1,200.00",,
Ability to Assign Opportunity to Multiple Users,"How would assigning an opportunity to  to multiple techs work? 

Can we customize it so that, each teach can individual pull up opportunities that are assigned to them or assigned to multiple people and add their own notes/ time tracking. 


Keywords:
assign-to, assign to, multiple assign-to, multiple assigned to, multiple assign to
Ability to select multiple assignee
multiple assignees",Medium (5-10 hours),"Can be done; however,may take upwards of 8 to 10 hours depending on details. This would be split up into two separate phases. 

Phase 1: Create the ability to assign Opportunities to multiple Method Users / Field Techs. 

Phase 2: Customized the Opportunities and Lists to support multiple assignments.

Details
- Notifications and how should they be handled
- What is the experience for the primary assigned tos vs. secondary.",5,5,18,"8,400.00",,
Migrations - Hubspot to Method - CRM Migration from Hubspot to Method,"1.) There are a number of custom fields and information they want to capture
2.) Most of their data lives in QuickBooks; however, some importing is required. 	Expectations should be set that migrating to any new system; will never be seamless and will take time and energy from all parties.",X-Large (30 + hours),"While this estimate is high, the objective is to educate the user on the process and why it takes time. In particular the impact it can have on their operations since we're so tightly integrated with QuickBooks.

Technically, 

First and foremost, the schema needs to be setup. 
- What information is coming from Salesforce
- What format
- How much of it is duplicated by information in QuickBooks and is it necessary

Importing is generally laborious because 
- Multiple imports to link records
- Analysis to remove duplicates

Once the import and data transfer occurs we have to explore how the data will be suraced up to the user.
- Conditionally displaying fields depending on other values
- Special permission considerations

Training on new features and integration",5,5,14,"6,600.00",,
Pets App - The ability to create an application that tracks pets their owners and their status,"I would like to create an app to keep track of owners, their pets, and their status. 

We currently operate a pet / animal transfer service.
We'd like a portal component as well to track it.",Small (3 -4 hours),"Custom apps are pretty standard. 

Creating a pet app is certainly possible with a portal component as well.
We should expect this to take a minimum of 3-4 hours. 

However, the scope and increase and decrease depending on the nature of the workflows.",5,4,7,"3,600.00",,
