Description,GPT Category,TeamA,Estimated Difficulty,# of Accounts Req.,Category,Old Team A,Team Dependent
"Customer does not want their individual pricing for items parts to show on invoices and items. They have protected pricing with our vendors and would like to make sure that it isn't shared with other parties. They just want to show the item, quantity and total they ordered and not individual pricing for parts they purchase.",,,X-Small (1 -2 hours),1,,,
This customer would like to have a space to add attachments to his Items so that he can add information about the technical data sheet of his products.,,,X-Small (1 -2 hours),1,,,
"User has many items with lengthy item descriptions which often go over the 255-character limit on the Lineitem Grid. 

Can the 255-character limit by increased?",,,Cannot be customized,1,,,
User would like to track Location on all transactions at the lineitems level,,,X-Small (1 -2 hours),1,,,
"Customer would like to change logic controlling estimate screens update. 

Out of the box, the line-items and subtotals are updated on save/email/print. 
Customer would like the subtotal to be more dynamic and update on any change.

The Dynamic nature of being able to update is important so we can keep track of totals as items are added. Rather than adding items then pressing save to know the total.",,,Should not be customized,1,,,
User is in the trophy business and would like an invoice report based on items category.,,,X-Small (1 -2 hours),1,,,
The customer would like to know if there is another alternative to adding group items in Method. They know they can add bundle items in QBO but want to be able to do it in Method.,,,Small (3 -4 hours),1,,,
"User is in the beverage and coffee business and has fields crews that deliver consumables on a regular basis. 

The Work order generally starts with a list of items that the customer likes to buy, all with a quantity of 0. 

Instead of going into each item to make the change on quantity, the customer is wondering if we can use an editable grid to make changes on one screen, saving their drivers valuable time on each delivery.",,Service Delivery,X-Small (1 -2 hours),1,,,
"User is in auto part sales and has a huge quantity of inventory itsems and parts numbers for the item name. 

They are often face-to-face with customers for order processing and find our open line-item search difficult to use, (they get a lot of returns).

They are wondering if we can restrict the search utiliity to be Item name only plus query based on the sequential order I.e 123 should only return items that start with 123.",,,Should not be customized,1,Field Operations and Logistics,,
"User is wondering if its possible to Batch-update all Taxes on the Lineitems to Tax or Non-Tax. 

Ive made recommendations that the customer tax code is a better option to accomplish this but curious if such a customization exist.",,,X-Small (1 -2 hours),1,Customer-Facing Features,,
"The “Group ID”, field is currently a text field, want to make this a dropdown field where you choose an option from a provided list instead of this being a manual entry field. (See attachment)

This will keep the group # consistent across all items and prevent the same group #’s from being entered in numerous different ways (for example Group 11A / Group 11-A / 11A / group 11a etc.) 

It should have a screen to create groups for this field as necessary.  ",,,Small (3 -4 hours),0,,,
"1. Making line items grid available on New/Edit Opportunity screen. This way, sales reps can enter list of items that they are selling to the customer. 

2. Opportunity Amount will be auto-populated and reflect the total amount of every line items selected. 

",,,Medium (5-10 hours),0,,,
"Duplicating a table is really helpful for a couple of reasons:

1.) It enables me to create a table that matches the schema of another table for importing.
- For example, importing into the activity table - Ideally I would just like to copy the activity table
- Convert all the fields to “plain text” so I can import into this “Staging Table”

Then use actions to import the data.

2.) In general this does help us create apps / tables that share similar structures but keep the data separate. 
- For example, an Inspection List vs. an Installation List. 

The same information is captured; however, for a number of reasons, it’s easier to manage this information in two separate places vs. reporting on it all in the same place. 

3.) Keeping records of historical changes
- For example, a packing slip on a Sales Order
- As things are shipped out, we may want to keep track of items that are shipping.

QB enables us to keep track of how many are shipping up until today.
However, we might want to keep a log of shipping records, this is especially helpful for partial shipments. 

Saves customizers hours of creating tables and schemas.",,,Cannot be customized,0,,,
"Based of the customer's last invoice, ability to quickly see what the last product they purchased on the Contacts Grid.

This client for example provides classes, so their items are the courses. They want to be able to see on the contacts grid what the last course a particular customer had purchased. ",,,Small (3 -4 hours),0,,,
"Customer workflow involves making and selling new items frequently and would like the ability for their team to create a new item from the estimate app if the item does not already exist.

QuickBooks is able to do this inline when creating a new transaction. ",,Sales,X-Small (1 -2 hours),0,,,
"I found that if I were to make a Sales Receipt for a Customer, it will appear as a Sales Receipt and a Donation in the Contact’s App Ribbon. 

I made sure to use Items that are not set as a Donation Item in the Donation’s Preferences and the Sales Receipts still appeared as a Donation.",,,Cannot be customized,0,,,
