Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
I would like to try method field services instead,Service Delivery,Product Fit,QBO-V3,Construction,US,12/20/2023
"Trish and James joined the call. Using a bunch of different applications (Elements, to create Estimates), unfamiliar with QB, asked whats assemblies vs. bundles, what is time tracking - a bit of QB intro (QBO). Lots of customizations needed (they want to replicate what is in Element in Method. At the end of the call, asked for their account to be cancelled as theyre not comfortable syncing to their QB.",Connect,Product Fit,QuickBooks,Field Services,,2/8/2024
was looking for more mapping options for customer list. Also prefer the UX/UI of Jobber,Service Delivery,Product Fit,QBO-V3,Consulting and Professional Services,US,1/31/2024
I'm looking for a more robust email campaign manager. The CRM feature is nice; and I will need that eventually; and the monthly cost was too much for something that I'm not quite looking for yet.,Customer,Pricing and Budget,QBO-V3,Food and beverage,US,6/5/2024
"Data import was not accurate
Custom reports are difficult
method updates QB as priority; rather than the opposite.
even simple  customization  cost consulting hours - features that are usually  available in other CRMs  ie:  mass deletes,  mass updates",Customer,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),US,8/6/2024
"Development process is exorbitantly expensive and cannot be budgeted for. Much cheaper to buy a complete setup. Also, the payment process is tedious and debited me multiple times. I had to request a refund.",Customer,Customization and Flexibility,Xero,Food and beverage,ZA,4/21/2024
"Thanks again for trying out this system.

We found that It didn't fit what we needed for a CRM.  We are looking for a customer management tool where we can track our customers, not our sales outlets.

We prefer setting up our own software customization and look to the Developers when needed.

Look forward to collaborating in the future.

Take care,

Jennifer Horton
Fifth of a Farm Creations",Customer,Product Fit,QBD,Food and beverage,US,10/4/2024
Wrong Platform was used of QB Online vs QB Desktop,Connect,Integration Needs,QBO-V3,,US,8/7/2024
Nothing really. The owner never made the commitmemt to move forward with the software & any customizations.,Customer,Timing and Readiness,QBO-V3,Field Services,US,10/10/2024
"As a task/activity management CRM, it just wasn't my favorite.  The email notifications were not helpful because they didn't provide any information about the task in the subject or body of the email.  I'm sure there are ways to customize the email notifications to make them look better, but I don't have the time, and I certainly don't want to spend money doing it.

Additionally, the app is not as easy to customize as advertised, and I'm just at an age where I'm not looking to learn how to do something new.  I have worked with your customization team with another client, and they are great and easy to work with.  After working with them, I now have a better understanding of the type of business that is a good fit for this app.  

Please do not follow up with me on this.",Customer,Customization and Flexibility,QBO-V3,Accounting and Bookkeeping,US,6/28/2024
Sales were not using it.,Sales,Product Fit,QBD,Telecommunications,US,10/15/2024
"Justin and his team has been Method user since dec 2020. 

There main champion left the business and Justin and most of his staff transitioned to HubSpot and has been paying for Method unknowingly since. 

Justin reached out originally to inquire on a refund but after discusses on Methods integration with QBooks. He wanted to explore if Method can be an option for his team since QBooks integration has become a sore point for their HubSpot workflow. 

The biggest gap is user interface and after a demo and a free hour, Justin has decided to move on. 

Interface was a constant gap during our conversation, specifically the draggable, dynamic Kanban workflow for managing opportunity (deal) stages. 

Justin also mentioned that HubSpot, although limited in capabilities, is far easier to customize DIY. 

Overall, he is trying to make Method Hubspot but thats just not quiet possible today.",Customer,Product Fit,QBD,Construction,US,1/23/2024
The system was not as user friendly as we had hoped and we do not want to pay extra to customize.,Customer,Product Fit,QBO-V3,Accounting and Bookkeeping,US,6/19/2024
"Spoke with Karri:

1) Jeremy the owner without having any discussion pulled the gun on Method

2) Karri who manages the whole business and all the employees is having a hard time working with the Time tracking module in Method

3) It is super time consuming for her to move between different screens from SO to WO to TT and keep track of services

4) Her service people are working on multiple jobs and for each job, they have a separate TT entry and price for the number of hours they work on it. 

5) They want to continue using pen and paper and just use QB as Karri feels that is the right approach for everyone

6) I tried to convince Karri that Ryan who was exceptional during the FH (she agreed as well) has taken the consulting case for you and can build the same workflow in Method to make her life and workflow easy but with a firm voice, she declined

7) She said that Jeremy moved too fast with Method without really understanding the depth of intensive work/workflow they have and the burden Karri will have with all this

8) They will just use pen and paper for TT and manual entries in QB as that is right for them (they think)",Service Delivery,Product Fit,QBD,Other,CA,4/30/2024
"Simple Customization such as adding a logo or changing the color of an invoice template is too complicated. 

I thought Method would make doing things QuickBooks online can already do easier, but I find that it is a lot more difficult and extremely less intuitive. Unless you built this framework or have extensive experience working with it to make the changes we need as a business, small business, making the changes to create the correct forms and workflow is extremely time-consuming even if you are fluent in working with the software much more so if your a chef or caterer trying to run your business.",Customer,Customization and Flexibility,QBO-V3,Construction,US,3/9/2024
We chose different software that met the business needs more closely without customization,Customer,Product Fit,QBO-V3,Repair and maintenance,US,9/27/2024
Using a different CRM that allows greater customization and flexibility.,Customer,Product Fit,QBO-V3,"Communications, Entertainment and Media",US,5/20/2024
"Please cancel the account, no sync",Connect,Not Categorized,QBO-V3,Construction,,6/25/2024
too much $$$ to customize to make it work for our needs.,Customer,Pricing and Budget,QBD,General product based,CA,4/25/2024
"Greg and his team have transitioned to an ERP system (NetSuite).

They  have  a heavy inventory management workflow and with QB working in conjunction with QBPOS, their inventory was simply a mess.

Greg understands that this isnt really a Method issue but have decided to leave QBooks and migrated to Netsuite as an all inclusive platform.",Sales,Product Fit,QBD,General product based,US,1/26/2024
I don;t like change. Sticking to Jobber.,Service Delivery,External Factors,QBO-V3,Construction,US,12/11/2023
Inconsistent operation.  Some of our customers could open their invoices and some couldn't.  We lost several sales to this issue.,Sales,Technical Issues,QBO-V3,Construction,US,7/12/2024
We did some CRM comparison's and found that Keap was a better fit for us. We never were able to get our QB's data to fully sync with Method.,Connect,Integration Needs,QBD,Retail,US,3/22/2024
Not syncing QBO for a trial.,Connect,Integration Needs,QuickBooks,Field Services,,9/16/2024
No QBDT account incoming,Connect,Integration Needs,QBO-V3,Construction,US,11/19/2024
Requires an all French-only CRM from internal screens to customer facing templates. Does not want to customize or use extensions to make this happen.,Customer,Product Fit,QBO-V3,Consulting and Professional Services,CA,6/20/2024
"Customer was window shopping and not looking for an integrated CRM. 

It would have been nice to test out the features without syncing out QuickBooks.

But yes, I would like to cancel my Method free trial",Connect,Integration Needs,QBO-V3,Consulting and Professional Services,,1/4/2024
"Method did not meet our needs for a CRM. We're a true mid-size firm. We need more robust features like a projects application included with the CRM. To be honest we need: QBO syncing 2 ways which you have, CRM, sales commission management, projects management, inventory management with barcode system, and chat/ forums. We found that with Bitrix for a great price. Thank you.",Sales,Product Fit,QBO-V3,Other,US,6/5/2024
"Job costing is not as user-friendly as we would ve hoped. We are staying with our current platform.

Karen uses qb expenses for job costing. We were working towards a workflow based on a combination of bills and customization to optimize her experience. Unfortunately, a family emergency stalled our momentum. They were big fans of our features and hopefully return for a second at bat",Customer,Product Fit,QBO-V3,Construction,US,1/24/2024
"Customer was looking for a way to track customer equipement and inventory. 

Added equipment beta app but was unable to create tractions",Service Delivery,Product Fit,QBD,IT and computer related,US,8/22/2024
We decided to move forward with Jobber instead.  Thank you!,Service Delivery,Product Fit,QBO-V3,Other,,4/3/2024
"One of Rivers main utiliies for Method was the google calendar integration. Although we have resolved his initial issues, He is reporting that the issues are persistent, including duplicate entries and deleted calendar events. 

I have reiterrated that supporting his Google calendar integration is something we are happy to assist with and part of our stock support offering but he has declined any additional help.",Connect,Product Fit,QBO-V3,Construction,US,1/18/2024
creating a new account as we connected this one to an incorrect file. thank you,Connect,Integration Needs,QBO-V3,Manufacturing (MWD),US,9/17/2024
This did not have the feature that I need.  I need a calendar that links to the database,Service Delivery,Product Fit,QBO-V3,General service based,US,9/3/2024
Calendar functionality is limited and very important to us.,Service Delivery,Product Fit,QBO-V3,Home Watch,US,2/8/2024
Advertising that you sync with QB when you dont is false advertisement.,Connect,Integration Needs,QBO-V3,,,11/13/2024
"Method and their employees did not let us down.

Because of the nature of our particular business model, Method was not an appropriate fit for us.
We are a Mobile Professional Vehicle Detailing company. 1 employee, me.

The system is too complex for us to afford customization, with the probability we didn't set up correctly and add other features in the future.

We were led to OrbisX which has all the components we would use, immediately. All setup and ready to use.

This is the major difference between different CRM models.

Method requires programming, others are turn-key.


Thank you to everyone who assisted us at Method !",Service Delivery,Customization and Flexibility,QBD,"Automotive parts, repair and maintenance",US,8/5/2024
"We already use Salesforce to manage our customer relationships, and a prior employee brought us Method strictly for commission calc purposes. We have had a hard time migrating our excel based calcs to be mimicked in Method & therefore, do not see the value for us going forward.",Sales,Product Fit,QBO-V3,Software,US,12/29/2023
"Mobile App didn't work great, seems to have bugs. No stock control feature (multiple locations), quite inflexible in terms of changes such as the tabs inside the customer account, a long story.",Service Delivery,Technical Issues,QBO-V3,General product based,GB,10/10/2024
They were not open to buying customization services or making the necessary changes of their own. They do not want to invest in Method,Customer,Customization and Flexibility,QBO-V3,Other,US,3/6/2024
To be fair I really don’t think house call pro is any better. I think the biggest problem came from our end when we had you built out our system to take payments in thirds. If we would have stuck to 50% down and 50% upon completion it would have been fine. If we ever decide to change I will definitely give you a call.,Transactions,Product Fit,QBD,Construction,US,11/4/2024
wasn't compatible for mobile and iPad,Service Delivery,Product Fit,QBO-V3,Construction,US,2/22/2024
We found a better solution for our CRM need that will be utilizing a tool we already use for inventory management etc.,Sales,Product Fit,QBO-V3,Manufacturing (MWD),US,12/15/2023
"Products or projects were imported from QB as contacts (customers) .  So sync didn't work correctly.  I was specifically looking for an integration with projects.
Also need to call and receive calls within CRM.",Connect,Integration Needs,QBO-V3,"Automotive parts, repair and maintenance",GB,6/30/2024
gmail sidebar app is crucial to how i work with a CRM and unfortunately your's really does not work well enough for me. happy to share specific feedback but i recommend you signup for nutshell and mimic their one.,Connect,Integration Needs,QBO-V3,"Advertising, marketing or PR",US,5/11/2024
Implementing Method into a workflow that has remained more or less the same for decades is the main hurdle. Our salesmen seem to prefer to doing things the way they always have and are not finding much value in the services offered based on the way they conduct business.,Sales,Customer Adoption,QBD,Retail,US,3/18/2024
I am looking for an app which will be an alternative housecall pro. I am not planning to use quickbooks.,Service Delivery,Integration Needs,QuickBooks,Repair and maintenance,,11/20/2024
"we decided to go with Cooper instead because it does a better job automatically pulling in email communications. 

Thanks for all of your help.",Customer,Product Fit,QBO-V3,Software,US,5/28/2024
"I was liking the few additional features that method offered over QBO, but you lost me at requiring me to link online payments in order to send a proposal. As a small business owner that deals often in checks, I do not want to be pushed to online payments by another software, it's bad enough that QBO pushes my customers to ask about payment options. We lose a large percent to credit card fees, so we greatly prefer checks, and being that there is already a substantial subscription fee for method, it is a deterent to see that I can't make proposals without having method be the place where we accept payments. Maybe method would be less intrusive than QBO with online payments, but at this point there isn't enough for me to gain by using method to justify making the switch and the potential disapointment with strong-handing how I accept payments.",Transactions,Product Fit,QBO-V3,Field Services,US,7/16/2024
synced to wrong QB file,Connect,Integration Needs,QBO-V3,Construction,US,10/29/2024
They only want a 1 way sync from QB to Method. Nothing from Method CRM should sync to QB,Connect,Integration Needs,QBO-V3,"Non-profit, govt or religious organization",US,5/24/2024
We chose to cancel the subscription at this time as we have not been utilizing the program.  At its current state we could not use it.   We were waiting for more customization and have just decided to cancel.,Customer,Customization and Flexibility,QBO-V3,Other,US,6/10/2024
"Honestly i think your product can do what i need it to do for my business, the problem is everything is so bare bones so i can't even get an idea of what it would look like. I was surprised that you didn't have a ton of pre-done templates that could be loaded into the applications. Very common things like payroll, employee management, Time management. This are basics for almost any industry. Realistically i would have to spend about 1300 dollars just to SEE what the end result would look like, Then tweak it. It would be a different situation if basic templates where already pre done so i could test out adding and removing employees, time tracking. Currently the ONLY thing i can do is create a work order and it just displays the information i put in. You can't do anything with that data UNLESS you have it customized. I don't think its a bad idea to have an option for customization and building out industry specific applications, but surely there could have been templates made for basic features. I am not willing to spend 1300 dollars just to SEE if it will work for my situation.",Service Delivery,Customization and Flexibility,QBO-V3,Other,US,3/24/2024
"Our decision to cancel was driven by the fact that the time required to customize Method CRM continued to expand well beyond the original estimate. We were initially told that the customizations could be completed within 30 hours, but as the process unfolded, it became clear that this timeframe was no longer feasible. The added time needed to customize Method was the primary reason for our decision to discontinue the service.",Customer,Customization and Flexibility,QBD,General product based,US,9/18/2024
Cant sync to QB. No time to do demo. Too different from QB.,Connect,Integration Needs,QBD,"Automotive parts, repair and maintenance",US,7/18/2024
"1) The inability to sync with the preferred delivery Method.
and 

2) more importantly, the in ability to use Method offline was a major hurdle. 

This customer works in western Michigan and often work in areas with low cell reception. 

they mentioned that Service Autopilot, which Method is intended to replace, did not have this issue. 

Field crews would load work orders in the morning, work offline during the day and the sync will automatically occurs once they are back in service range. 

This was ultimate the deal breaker.",Service Delivery,Product Fit,QBD,Repair and maintenance,US,4/9/2024
Found cheaper alternative with more customizations,Customer,External Factors,QBO-V3,"Non-profit, govt or religious organization",US,9/9/2024
"Customer Reason:
I don t like that everything is additional cost. As a standard package Method isn t much use so you have to bespoke everything. Then when your tech team bespokes the software and it doesn t work we have to pay you to fix it.

This would be like me building you a house, the plumbing not working and charging you to re pipe the house.

Overall the experience has been pretty poor and we wait a long time to get things resolved.

-==============================================-

Internal Reason:
Kris came from multiple other systems including Buildertrend, that basically collapsed for the same reason, he had basically just boot strapped a bunch of things until it just didn t work.

To change his direction, we had asked him to document and go through things. The sad reality is they re likely just using excel to do estimating, because - they were unable to change their workflows. 

Their biggest issue is that every week they would change their minds, after countless attempts to get them to work through a successful workflow.  They just opt d to complain vs. putting in the wrench time, without clear communication.

His needs with quite simple; however, he just didn t want to invest time to make sure his items and data was setup correctly and prefered to  freeform  all estimates.",No Code,Customization and Flexibility,QBO-V3,Construction,GB,1/2/2024
"There were limitations in the Work Order and Field Crew app that couldn't be customized to my client's satisfaction.

Sfwan was AMAZING in the work that he did with the customization, and it all looked great on the desktop side.  There one suggestion that I have for the Work Order side in general, is that completed orders need to be synced so the invoicing can be done from the QuickBooks side.",Service Delivery,Product Fit,QBO-V3,Construction,US,7/25/2024
Signed up and chose QBO when they use QBDPro. Signing up again now.,Connect,Integration Needs,QBO-V3,Construction,US,9/27/2024
"Their needs: 

Stage 1: Purchase Order: generally where orders come in usually here is where we have to check that their pricing from the pourchase order is correct with our current pricing. Our pricing generally changes once a year and is based on volume. If we could have some sort of pricing rules built in to reflect that, that would be great.
 
Stage 2: Invoice: Usually if there is a price change we then send a final invoice to the customer for approval.

Stage 3: Payment: some of our customers require payment up front, others we bill after the product has shipped.

Stage 4: Custom Printing: some of our products have the option for custom printing. Generally, the process of this goes:

                Customer sends us their logo

                Logo created into a proof

                Send to customer for approval

               Having steps for each of these and even a way to send the proof where they can just click accept or reject with comments, would be great.

Stage 5: Fulfillment: this is where orders are filled in our warehouse

Stage 6: Shipping:  once the order is fulfilled, we are notified it is ready to ship where we then arrange for a truck to come pick it up or if smaller use standard mail to ship it out

Stage 7: Send Bill: if the customer does not require prepayment, we would send the invoice once the product has been shipped.

Discussion:

I explained to Mike that their request would need to be scoped out, and since they had already used their 1 Free Hour, they would need to sign up for the Pay-Per-Use (PPU) service. Unfortunately, they felt that our PPU was too expensive and were unwilling to proceed with it. I clarified our processes to ensure expectations were clear, but they were still dissatisfied with the costs involved in customizing their requirements in Method.",Transactions,Customization and Flexibility,QBO-V3,Manufacturing (MWD),US,11/10/2024
need to have a system i can take payments on the go and keep track of the customers,Transactions,Product Fit,QBO-V3,Retail,US,12/28/2023
"I have tested Method many times over the past 3 or so years.  You still lack the following that are needed by managed service providers that offer IT support contracts to their customers:

Two factor authentication
Contracts to expense work orders or cases against
Batch invoices

Maybe someday we will see these features...",Transactions,Product Fit,QBO-V3,IT and computer related,US,9/2/2024
Method Sync Engin is horrable,Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,9/16/2024
"Your sales person told me Method could do the following things, so I purchased the service. However during the implementation call, I learned that all of the things promised were not actually possible.

1.	It takes 20 minutes to see the balance change from the original amount owed to “$0.00” in Method (not Quickbooks). Is it possible to show a $0.00 balance owed in real time (in Method) after a charge is made? Method sales: Yes, we can customize this so it's $0 right away
2.	Similarly, when a client receives an email confirmation after a payment is received in Method and they click on “View Payment” in their email, it still says a balance is owed. It takes 15+ minutes to reflect a $0.00 balance owed in the payment receipt (not Quickbooks, but in Method). Is there a way to make that Payment reflect “$0.00” immediately? My customers will be confused if they click on the View Payment and it still shows a balance owed, even though we charged their card already.  Method sales: Yes, we can customize this so it's $0 right away 
3.	Is it necessary to select  Payment Method  card type when the information is already saved on the next screen? Can we remove this step? What purpose does this required field serve, if it's already saved? Method sales: Yes, we can control this setting and remove this step.",Customer,Communication Issues,QBD,General service based,US,1/16/2024
"I did not want to send invoices through this app.  I already have it set up nicely with Quik books I was just looking for a user friendly CRM for managing sales, leads etc.. just not a fan",Sales,Product Fit,QBO-V3,Other,US,4/10/2024
Too difficult to schedule without a full view on the calendar.,Service Delivery,Product Fit,QBD,Home Watch,US,9/26/2024
Not able to use the Calendar for proper scheduling and viewing of all accounts.,Service Delivery,Product Fit,QBO-V3,Home Watch,US,7/10/2024
"I loved the integration bi-direction with quickbooks.  There would have been a good amount of cutom work for us.  Major things that we noticed while creating an invoice is there is no Add Line in between other line items, No Informational Line (text with no quantity or price entered), and Adding a Job under a customer would have been custom programming.  Adding a job also wasn't carrying the customer information.  Specialty field wasn't carrying over (Auto Vin)

We loved the marketing directly related to quickbooks but our marketing company is currently using mail chimp.  I did run a couple ads from there.  I wish there was a email-box for all the responses to go to.  Not sure if other marketing software does this or not.

The work order area didn't work to our advantage.  We 
We did find out that our quickbooks subscription was a 2-user that we were unaware of, so we decided to go straight to Quickbooks for processing.  We do like the product so we will see if we can use it in the future.  Somehow our pricing went way up the last month, not sure why.

Naomi is awesome and always got back to us as soon as possible.  Very prompt customer support.

Regards,
Rob Browne",Service Delivery,Product Fit,QBD,"Automotive parts, repair and maintenance",US,6/11/2024
Our sales team don't like to use it. They prefer to use Monday instead. so we've been paying 2 crm for 3 months now..,Sales,Customer Adoption,QBO-V3,,CA,12/19/2023
We had hoped that Field Service would meet our service requirements but it just wasn't suitable to our needs.,Service Delivery,Product Fit,QBO-V3,Field Services,CA,10/2/2024
"Customer Comment: Messy Process of Creating Invoices

-----

Method Comment: Customer was looking to create two different versions of invoices where USD and CAD Prices are shown to users based on their location. This was a limitation of QuickBooks as well as they wanted to control all costs and prices to be CAD and then convert when needed. We could certainly customize this; however, the customer opted to not customize.",Customer,Customization and Flexibility,QBO-V3,,CA,7/12/2024
"your time keeping app is less than ideal, we went to quickbooks time",Service Delivery,Product Fit,QBD,Construction,US,11/25/2024
Called the customer but they were looking for a stand-alone system that just does proposals. QBO sync was not important to them. I forced them to sync but they already made up their mind,Connect,Integration Needs,QBO-V3,,US,1/9/2024
Too difficult to customize in multiple areas,Customer,Customization and Flexibility,QBO-V3,"Non-profit, govt or religious organization",US,10/8/2024
"Being obligated to link QuickBooks to a platform that Im uncertain about using, or unsure of trusting, is not acceptable. Clarity during the sign-up process would have prevented any wasted time.

RE: we have offered demos and Q&As before the sync to help add more value and clarity but the customer has refused",Connect,Integration Needs,QuickBooks,,,6/11/2024
"we really appreciate everything you and Muhammad did for us. I was about to type up our reasons for cancelling in response to Muhammad’s email to us, but I will list the reasons here for both your benefit.

Our database requirements are quite complex owing to our legacy as a marketing services provider to IT and other tech providers, including medical and oil & gas. Using Method successfully would require an unreasonable amount of customization for which we don’t have the time or resources.
We need to devote substantial resources to the migration process with 400,000 unique records. This is a process whose magnitude I failed to fully appreciate.
Our long-term business strategy involves creating a proprietary system that allows us full freedom to expand on our unique marketing approach. Therefore, maintaining status quo on the CRM front for the short term is the best option for us.",Customer,Customization and Flexibility,QBO-V3,Telecommunications,US,10/29/2024
We aren’t using method. We find the functionalities limited unless we pay for customizations. The system lacks many features and isn’t very intuitive or user-friendly.,Customer,Customization and Flexibility,QBD,Wholesale and distribution services (MWD),US,4/26/2024
