Question,PrimaryTeam (from Components) (from Specific),Specific,General Category,Summary
The customer contacted us to request for item descriptions to be displayed as multi-line on estimates in the customer portal.,"Customer,Transactions,Sales","customization,portals,estimates",other,"Customer requested for item description to be displayed as multi-line on estimates in customer portal
Teammate offered to adjust column width and provide screen share tutorial
Teammate confirmed customization is possible but is a billable service
Teammate sent pay-per-use agreement to customer's email
Teammate closed chat and encouraged customer to reach out for further assistance. Chat Link"
The customer contacted us because they were having trouble editing prices and descriptions for donation items on their donor form.,,"icr-cs,icr-ps",miscellaneous,"Customer is having trouble editing prices and descriptions for donation items on their donor form.
Teammate confirms that prices and descriptions can only be edited in the Items app, not on the donor form.
Teammate offers to schedule a screenshare session to further assist the customer.
Teammate also mentions that prices can be updated in QuickBooks.
Teammate recaps the conversation and offers further assistance if needed. Chat Link"
The customer contacted us due to a sync error in QuickBooks for accItem records with no changes.,Connect,sync conflicts,general support & issue resolution,"Customer experiencing sync error in QuickBooks for accItem records with no changes
Error message: ''There was an error when converting the quantity ''0'' in the field ''reorder point''. QuickBooks error message: The min quantity must be less than the max quantity.''
Teammate checking for permanent solution, suggests blanking out Reorder Point value to Null if Max value is 0
Customer reports bulk update reverting values to 0, believes there is a root cause
Teammate creates case for support to investigate, case number #55535, customer's email provided for contact. Chat Link"
The customer contacted us because they were unable to see the edit filter criteria option since last Wednesday for the ''BonOpusItem'' app.,,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","Customer unable to see edit filter criteria option since last Wednesday
Issue reported for ''BonOpusItem'' app
Teammate working on resolving the issue
Customer gives permission for teammate to access account
Teammate confirms issue is resolved and asks customer to refresh and try again Chat Link"
The customer contacted us for assistance in creating reports for exporting customer data and creating an item by customer report.,Admin,"data import/export,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Teammate assisted customer in creating a report to export a list of customer data, including addresses.
Customer also requested help in creating an item by customer report.
Teammate offered to schedule a screen share to further assist with report creation.
Teammate provided resources for utilizing out-of-the-box reports and customizing columns and grids on the Contact screen.
Teammate mentioned availability of customization experts for additional assistance, with a reminder that this service is billable. Chat Link"
The customer contacted us because invoice 206650 was not syncing to Quickbooks and they had given a line item credit.,"Connect,Connect,Transactions","sync conflicts,qbdt sync,invoices","general support & issue resolution,other","Invoice 206650 won't sync to Quickbooks.
Customer gave a line item credit.
Teammate is investigating the issue and creating a case for second level support.
Case number is #54402.
Support team will be in touch with the customer. Chat Link"
The customer contacted us for help with exporting the total quantity of items purchased by multiple clients.,"Admin,Customer","data import/export,catalogues- purchase history/ items purchased by customer","general support & issue resolution,other","Customer needs help with exporting total quantity of items purchased by multiple clients.
Teammate suggests using advanced search and exporting through the cloud icon.
Teammate provides screenshot examples of how to add multiple customers, item names, and purchase date.
Teammate confirms with customer that the solution worked.
Teammate emails customer the screenshot examples for future reference. Chat Link"
"The customer contacted us to remove a user and reduce the number of seats on their account, as well as to add item descriptions to an email template.",Admin,user management,"general support & issue resolution,user & account management",Customer needs to remove a user from their account and reduce the number of seats being used. Teammate offers to assist with removing the user and explains the process. Customer also needs help with adding item descriptions to an email template. Teammate informs that this would require customization and is a billable service. Customer decides to find an alternative solution for now.Chat Link
The customer contacted us because the import function for new items in a table was not working.,Admin,data import/export,"general support & issue resolution,other","Import function for new items in a table not working.
Column headers in spreadsheet must match fields in Method table.
All required fields in Method table must have values in spreadsheet.
Fields marked as unique in Method table must contain unique values in spreadsheet.
Verify fields before proceeding with import. Chat Link"
The customer contacted us for assistance with importing new items into the Items App.,Admin,"data import/export,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer is having trouble importing new items into the Items App.
The customer received an error message when trying to submit the new item.
Teammate provided steps to resolve submission errors when importing items.
Teammate requested the customer to share the CSV file for further assistance.
Customer successfully imported the items after changing the file name and adding missing required fields. Chat Link"
The customer contacted us for assistance with importing new noninventory items into Method.,Admin,data import/export,"general support & issue resolution,other","Method only allows for updating existing records, not creating new ones when importing data.
To import new items, the file must include a RecordID column and the ''Import records'' option must be selected.
Method automatically generates a RecordID for new records.
The customer's new records are noninventory items and should be imported under the ''itemNoninventory'' table.
If the import is incorrect, it must be manually deleted as there is no undo option. Chat Link"
"The customer contacted us for help with email and PDF templates, specifically with displaying only the date without the time for service dates in invoice line items.","Customer,Transactions","customization,icr-cs,icr-ps,invoices","miscellaneous,general support & issue resolution,other","Customer is having trouble with email and PDF templates, specifically with displaying only the date without the time for service dates in invoice line items.
Teammate suggests formatting the date fields using Date Functions for email templates and Text Format String for PDF templates.
Customer also has an issue with assigning email templates to specific users and departments.
Teammate suggests duplicating and customizing print templates and updating the email on Estimate preferences to achieve desired workflow.
Customer is interested in customizing their workflow and is willing to pay for professional services. Chat Link"
The customer contacted us due to a sync conflict with 200 missing items from QuickBooks.,Connect,sync conflicts,general support & issue resolution,"Customer has a sync conflict with 200 conflicts.
Teammate confirms with Dhruv and clarifies that the conflicts are actually missing items from QuickBooks.
Teammate provides a helpful article for understanding the issue.
Dhruv will be in touch with the customer.
Teammate checks in and offers further assistance if needed. Chat Link"
The customer contacted us because they were having trouble viewing item details on estimates from their phone.,Sales,stockapps- howto-estimates,other,"Customer is having trouble viewing item details on estimates from their phone.
Teammate offers to help with customization and provides examples of how they have helped other businesses.
Teammate asks for permission to access the account and investigates the issue.
Teammate confirms that there is an open ticket for the issue and adds the customer's account to it.
Customer is satisfied with the response and is notified that they will be updated once the issue is resolved. Chat Link"
The customer contacted us because sales orders with group items are not closing in Method.,,stockapps how-to,how-to,"• Sales orders with group items are not closing in Method.
• Sales orders are being marked as closed in QuickBooks but remain open in Method.
• Teammate attempted to replicate the issue but was unsuccessful.
• Teammate recommends consulting team to investigate the issue.
• Customer to provide additional examples of sales orders not closing. Chat Link"
The customer contacted us to inquire about adding a box showing the location of inventory items in their warehouse.,Customer,"customization,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer wants to add a box showing location of inventory items in warehouse
Teammate confirms and asks for specific details
Customization is needed for this feature
Teammate provides article and offers billable customization service
Customer will discuss with manager and decide on next steps. Chat Link"
The customer contacted us regarding an issue with line items and descriptions not sending when emailing an opportunity to a customer.,,stockapps platform,stockapps & product-specific,"Customer is having an issue with line items and descriptions not sending when emailing an opportunity to a customer.
Teammate is creating a test case to replicate the issue and has reached out to support for further assistance.
Teammate has provided the customer with a case number for reference and will update them with any findings.
Customer has provided a test customer for the teammate to use.
Teammate has confirmed with the customer and is waiting for a response from support. Chat Link"
The customer contacted us because they were experiencing issues with items showing up with a blank quantity on hand.,Sales,stockapps- howto- items,other,"Customer is experiencing issues with items showing up with a blank quantity on hand.
Teammate offers to help and asks for permission to access the account.
Customer confirms the issue is resolved.
Teammate offers further assistance if needed.
Conversation ends on a positive note. Chat Link"
The customer contacted us to inquire about removing categories from item names in QuickBooks Online.,"Customer,Sales","feature request,customization,stockapps- howto- items","general support & issue resolution,other,product development & feature requests","Customer wants to know how to remove category from item names
Method's functionality reflects structure set in QuickBooks Online
Customer can manage categories in QuickBooks Online
Customer can customize category appearance on transactions with help from expert consultants
Teammate offers assistance and asks if there are any other questions. Chat Link"
The customer contacted us regarding sync conflicts for items with multi-level parent names in Method.,Connect,"qbo sync,icr-cs,icr-ps","miscellaneous,financial & payments","Customer is experiencing sync conflicts for items with multi-level parent names in Method.
The specific error is ''ParentRef Required Error'' and the solution is to ensure the parent item exists in QuickBooks and is properly linked in Method.
If the issue persists, a manual sync and potential manual adjustments may be necessary.
A case has been created for the second-level support team to investigate the issue.
The case number is 58293 and a team member will be in touch with the customer. Chat Link"
The customer contacted us regarding PO items not reflecting in QuickBooks.,Customer,customization,other,"Customer has an issue with PO items not reflecting in QuickBooks
Teammate suggests checking Total Quantity Received field and syncing
Custom fields created by Nelson do not sync to QuickBooks
Teammate creates feature request for more streamlined PO workflow in Method
Suggests discussing with consultant Joon for further customization options. Chat Link"
The customer contacted us to address an issue with tax calculations on non-tax items for customers marked as tax.,Sales,stockapps- howto-estimates,other,"Estimates are calculating tax on non-tax items for customers marked as tax.
The customer provided two estimate numbers where this issue occurred.
The teammate created a test estimate and did not encounter the same issue.
The teammate discovered that the tax is coming from an API linked to the customer's Method account.
The teammate suggested adding Avatax on the customer's QuickBooks desktop account for automatic integration with Method. Chat Link"
The customer contacted us to inquire about adding pictures to their inventory list and tracking warranty on items.,Customer,"customization,free hour booked - csr",other,"Customer has questions about adding pictures to inventory list and tracking warranty on items.
Teammate confirms that warranty can be tracked using ''Warranty expires'' field.
Teammate offers 1 free hour of customization to add pictures to inventory list.
Customer agrees and books a time for Friday at 11:30 using email carolinacompactor@gmail.com.
Teammate confirms booking and offers to answer any additional questions. Chat Link"
The customer contacted us because they were experiencing issues with incorrect item printing on an estimate.,Customer,"report designer,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer is experiencing issues with incorrect item printing on an estimate.
Troubleshooting steps include checking syncing with QuickBooks, verifying sync connection, and reviewing/updating estimate print template.
Possible issue with unintentional grouping of items in report template causing repeated printing of same item.
Teammate offers further assistance and closes chat, but remains available for help if needed. Chat Link"
The customer contacted us for assistance with adding a new item to the drop-down menu on the Give form and ensuring it is connected to the correct class in QBO.,,,general support & issue resolution,"• Customer needs help adding a new item to the drop-down menu on the Give form and wants to ensure it is connected to the correct class in QBO.
• Teammate suggests adding the item through the Donor Pages > Personalize option and confirms that it is connected to the correct class.
• Customer wants to add the cause information to the donation receipt email or receipt template.
• Teammate provides steps to add the cause field to the receipt template and suggests making a copy of the template before making changes.
• Teammate helps customer access the Donations Preferences screen and successfully updates the form.
Chat Link"
The customer contacted us for help with handling delivery of items on a sales order or invoice.,Transactions,"stockapps how-to,invoices",how-to,"Customer needs help with handling delivery of items on a sales order or invoice.
Teammate suggests using the Field Crew app to assign, schedule, and dispatch the products or services.
Customer wants to know how to do this and mentions having trouble with sales inventory items.
Teammate explains that currently only service items are available for work orders, but customization can be done with the help of a consultant.
Teammate offers to book a time for customization and provides available time slots. Chat Link"
The customer contacted us for help with using Method software to create and track inventory items.,,"icr-cs,icr-ps",miscellaneous,"Julia needs help with Method software for creating an inventory and tracking items in and out.
She wants to be able to scan items and view inventory in an app.
The teammate suggests customizing the solution and recommends discussing with the dedicated consultant, Muhammad.
Muhammad's email is m.muhammad@method.me.
The teammate will close the chat but is available for further assistance. Chat Link"
The customer contacted us for assistance with importing items into Method.,Admin,data import/export,other,"Customer is having trouble importing items into Method.
Teammate confirms that items can be imported and provides steps to do so.
Customer is unable to select ''Import records'' and the option is greyed out.
Teammate asks for permission to access the account and for the file being imported.
Teammate suggests choosing the ItemInventory table when importing and it works for the customer. Chat Link"
"The customer contacted us regarding an issue with a new rep's sales order, specifically with duplicated item list fields and a jump in the sales order number sequence to 6 digits.",Customer,customization issues,other,"Customer is having an issue with a new rep's sales order.
The item list field is getting duplicated on the screen.
The number sequence for the sales order has jumped to 6 digits.
Teammate recommends contacting dedicated consultant for further investigation.
For the reference number issue, teammate suggests fixing manually and contacting them if problem persists. Chat Link"
The customer contacted us because they were experiencing an issue with the item list not showing on recent estimate pages.,Sales,stockapps- howto-estimates,other,"Customer is experiencing an issue with the item list not showing on recent estimate pages.
Teammate confirms the issue and asks for permission to access the account.
Teammate creates a test estimate and refreshes the column and grid, but the item list still does not show.
Teammate creates a case for support to investigate further.
Teammate provides the customer's direct number and case number for support to reach out. Chat Link"
The customer contacted us to inquire about why items are not showing up on invoices when converting from Method to QuickBooks.,Transactions,invoices,general support & issue resolution,"• Customer is inquiring about why items are not showing up on invoices when converting from Method to QuickBooks.
• Teammate asks for a screenshot and clarification on whether the issue is with the QuickBooks print template or when sending to customers.
• Teammate suggests contacting QuickBooks support for assistance with adding items to the PDF template.
• Teammate checks in and offers further assistance if needed.
• Teammate closes the chat and advises customer to contact QuickBooks support for further help. Chat Link"
The customer contacted us for assistance with auto-populating item numbers in Method for Stag Rentals.,Customer,customization,"general support & issue resolution,other","Customer is having trouble with auto-populating item numbers in Method for Stag Rentals.
Teammate clarifies that the auto-populate setting is for transaction numbers, not item numbers.
Teammate offers to customize the workflow for auto-calculation of item numbers.
Customer will contact dedicated consultant for assistance.
Teammate encourages customer to reach out with any further questions. Chat Link"
The customer contacted us to find a way to exclude specific items from being discounted on an order.,Customer,"customization,stockapps how-to","how-to,general support & issue resolution,other","Customer wants to exclude specific items from being discounted on an order.
Teammate suggests using price levels for QuickBooks Desktop or creating a negative service item for QuickBooks Online.
Teammate offers to access customer's account to assist further.
Customer wants to exclude can and keg deposits from being discounted.
Teammate suggests using discounts on each line item instead of a total discount, but customer prefers their current workaround. Chat Link"
The customer contacted us because they were unable to add an income account to a non-inventory item.,Sales,stockapps- howto- items,"general support & issue resolution,other","Customer needs to add an income account to a non-inventory item, but the option is greyed out and unclickable.
Teammate requests permission to access the account and investigates the issue.
Teammate discovers that the option was disabled when the screen was customized and provides instructions on how to enable it.
Customer follows instructions and successfully adds the income account to the item.
Teammate offers further assistance and customer is satisfied with the resolution. Chat Link"
The customer contacted us to inquire about sorting and moving items in an Estimate in Method CRM.,Sales,stockapps- howto-estimates,other,"Customer is looking to sort and move items in an Estimate in Method CRM.
This feature is not currently available and would require customization.
Customization is a billable service and the customer is not interested in pursuing it.
The team will pass on the feedback to the development team for future updates.
The customer may consider switching to a different CRM due to the lack of basic features. Chat Link"
The customer contacted us because the Field Crew app is not autofilling the payroll item when clocking in/out.,,stockapps how-to,"how-to,general support & issue resolution","Customer is experiencing an issue with the Field Crew app not autofilling the payroll item when clocking in/out.
Payroll items are set to hourly but Method doesn't autofill this field.
No recent updates or changes to the Field Crew app or QuickBooks setup.
Teammate suggests checking the setup process for time tracking and setting a default payroll item in preferences.
Teammate offers to continue assisting if needed. Chat Link"
"The customer contacted us because they accidentally deleted advanced email settings in the Send Email screen on Feb 23, 2024 and wanted to know if Method CRM has a way to store and reinstall deleted items.",Customer,customization,other,"Customer accidentally deleted advanced email settings in Send Email screen on Feb 23, 2024.
Customer wants to know if Method CRM has a place to store and reinstall deleted items.
Teammate accessed customer's account and found error when clicking on Advanced Email.
Teammate unable to find deleted screen and suggests discussing with consultant.
Consultant has not yet been assigned to open case. Chat Link"
The customer contacted us because they encountered an HTTP error when trying to access the Items main screen.,,"performance,icr-cs,icr-ps",miscellaneous,"Question

The customer contacted us because they encountered an HTTP error when trying to access the Items main screen."
The customer contacted us regarding duplicate items in QBO and Method with the same list ID but different RecordIDs.,Connect,"qbo sync,icr-cs,icr-ps","miscellaneous,financial & payments","Duplicate items in QBO and Method with same list ID and different RecordIDs
Previous occurrences of this issue due to a bug in sync
Unable to delete duplicate records in user interface
Case #58286 created for second-level support team to investigate and provide update
Customer to be contacted with update soon. Chat Link"
The customer contacted us to inquire about customizing how line items with a specific prefix appear on estimates in Method without affecting QuickBooks Online.,"Customer,Sales","customization,estimates","general support & issue resolution,other","• Method's Help Bot is available to answer questions and provide helpful answers from Method's official help documentation.
• The customer wants to adjust how line items with 'FEES:' prefix appear on estimates in Method without affecting QuickBooks Online.
• This customization would require Method's consulting team and may be billable unless the customer has free customization hours available.
• The teammate offers to book a free customization session with a consultant and provides a booking calendar for the customer to choose a suitable time.
• The teammate checks in with the customer and offers to continue the conversation if needed. Chat Link"
The customer contacted us to schedule an appointment with a software engineer for 3 items.,Customer,customization,"general support & issue resolution,other","• Customer wants to schedule an appointment with a software engineer for 3 items.
• Teammate offers pay per use agreement for additional customization.
• Teammate sends agreement for customer to sign.
• Customer agrees and receives agreement.
• Customer expresses gratitude.
Chat Link"
The customer contacted us regarding an issue with items not syncing in Method.,"Connect,Sales","qbdt sync,stockapps- howto- items,icr-cs,icr-ps","miscellaneous,other","Customer has an issue with items not syncing in Method.
Teammate is investigating the issue and will update the customer.
Teammate will create a case for support to resolve the issue.
Case number is #56807.
Support will contact the customer. Chat Link"
The customer contacted us for assistance with adding a new service item and utilizing custom reports for tracking business growth and sales team performance.,Sales,"stockapps- howto- items,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Custom reports can help track business growth, sales team performance, and deal trends.
To add a new service item, follow the instructions in the provided article.
Teammate will close the chat but is available for further assistance.
Teammate checked in and reminded customer to reach out for help if needed.
Teammate provided email for future communication. Chat Link"
The customer contacted us for assistance with adding a Sales Tax item in QuickBooks.,Connect,"icr-cs,icr-ps,qbo taxes","miscellaneous,other","• Sales Tax item is only available in QuickBooks Desktop, not in QuickBooks Online.
• To add a Sales Tax item, go to the Items app and fill in the required fields.
• If the Items app is not visible, contact the administrator for access permissions.
• Teammate offers assistance and checks in with the customer.
• Teammate closes the chat but remains available for further help. Chat Link"
The customer contacted us to inquire about how to add quantity on hand when adding items in inventory on Method.,Sales,stockapps- howto- items,other,"The customer wants to know how to add quantity on hand when adding items in inventory on Method. The teammate explains that the quantity on hand is a read-only field in Method and recommends adding it in QuickBooks and syncing it with Method. The customer explains that they have different employees using QuickBooks and Method and wants to be able to enter the quantity on hand in Method. The teammate informs the customer that this is not currently possible on the platform, but there is a feature request for it and they can add the customer's account to the list. The teammate later informs the customer that the feature is now available and recommends booking a time with their success manager to discuss it further.Chat Link"
The customer contacted us regarding an issue with an invoice not syncing with QuickBooks due to a conflict with an item.,Transactions,"icr-cs,icr-ps,invoices",miscellaneous,"• Invoice for Ross Valley Sanitary District dated 12/17/24 is not syncing with QuickBooks due to a conflict with the item ''Current Sourcewell (020221):HRN-GS16K2 (OBDII T-harness)''
• Teammate has permission to access customer's account to investigate the issue.
• Teammate has created a case with support (Case #58398) and customer will be contacted by Dhruv via email.
• Teammate has requested a screen share or a scheduled time to discuss the issue further.
• Customer has given permission for a screen share and has provided contact information.
Chat Link"
The customer contacted us for help with adding fields and a link to the actual invoice on the Invoice Items screen.,"Customer,Transactions","customization,icr-cs,icr-ps,invoices","miscellaneous,general support & issue resolution,other","• Customer needs help adding Invoice number, Customer, and a link to the actual invoice to a grid on the Invoice Items screen.
• Teammate offers to assist and asks for permission to access the account.
• Teammate guides customer on how to add the fields to the grid.
• Customer asks about adding a date control and making the Invoice Number a link to open the invoice in another tab.
• Teammate suggests consulting team for further assistance and recommends checking the Help Center for customization guidance. Chat Link"
The customer contacted us to report two problems: items on estimates changing order when saved and bundle items not having pricing on Method.,"Sales,Sales","stockapps- howto- items,estimates","general support & issue resolution,other","Customer has two problems: items on estimates change order when saved and bundle items do not have pricing on Method.
Teammate creates a test estimate to investigate the first problem and will update the customer shortly.
Teammate creates a case for the second level support team to investigate the issue with bundle item pricing.
Customer agrees to a screen share for further assistance.
Teammate provides case number for customer's reference and assures them that a team member will provide an update. Chat Link"
The customer contacted us to inquire about using wildcards in item search.,,"stockapps how-to,feature request,icr-cs,icr-ps","miscellaneous,how-to,product development & feature requests","Customer inquiring about using wildcards in item search
Teammate confirms that Method does not currently have this feature
Teammate will pass on feedback to consider adding this feature in future releases
Customer explains how this feature would improve their workflow and make it easier to find specific parts
Teammate acknowledges feedback and passes it on to the team. Chat Link"
The customer contacted us regarding an issue with a specific item in their ticket that has a 3% calculation for credit card fees.,Customer,customization,"general support & issue resolution,other","• Customer is having an issue with a specific item in their ticket.
• The item is for credit card fees and has a 3% calculation.
• When added to a ticket with multiple items, it only calculates 3% of the item above instead of the whole ticket.
• Teammate suggests discussing customization with dedicated consultant Niharika Verma.
• Customer thanks teammate and agrees to discuss with consultant.
Chat Link"
The customer contacted us to inquire about adjusting line items on estimates in Method without affecting QuickBooks Online.,"Customer,Sales","customization,estimates","general support & issue resolution,other","• Customer is looking to adjust line items on estimates in Method without affecting QuickBooks Online.
• This requires customization and is billable, but customer has 1 free hour of customization available.
• Teammate provides instructions on how to customize estimate template and offers to schedule a meeting with consulting team.
• Customer expresses interest and will schedule after 5pm.
• Teammate attempts to contact customer but is unable to reach them, provides link for customer to schedule meeting themselves. Chat Link"
The customer contacted us regarding a sync issue with their items in Method.,Connect,api,integrations & connectivity,"• Customer is experiencing a sync issue with their items in Method.
• The issue is coming from Method's side.
• The customer has been using the API for 2+ years.
• The customer has provided examples of successfully imported items.
• The teammate suggests posting the issue in the API/developer forum for prompt response from the development team.
Chat Link"
The customer contacted us for customization services to receive items from a purchase order and convert it to a vendor bill.,Customer,customization,"general support & issue resolution,other","Bundle items created in QuickBooks Online do not have a Business Name field, causing them to not appear on invoices in Method.
Customization is needed to add the ability to receive items from a purchase order with an item receipt and convert it to a vendor bill when invoiced.
The customer has an open case with the consulting team for customization services.
The customer's position in the queue for customization is 5.
The customer's original chat conversation with Jainaben Patel requested customization for receiving items from a purchase order and converting it to a vendor bill. Chat Link"
The customer contacted us because they were having trouble filtering out non-donation items on the donations page.,,"icr-cs,icr-ps",miscellaneous,"• Customer is having trouble filtering out non-donation items on the donations page.
• Teammate offers to assist and asks for permission to access the account.
• Teammate confirms that the correct items are marked as donation items in the preferences.
• Customer provides an example of non-donation items still showing on the donations page.
• Teammate suggests a screenshare to further investigate the issue. Chat Link"
The customer contacted us for assistance with viewing total sales for a single item.,Transactions,stockapps- howto-salesreceipts,other,"• Teammate checked in with customer about their previous question on viewing total sales for a single item.
• Teammate offered assistance and asked if customer was able to find the reports.
• Teammate closed the chat but reminded customer they are available for further help.
• Customer did not respond, so teammate closed the chat. Chat Link"
The customer contacted us because they were unable to locate the 'Items Purchased' tab under the customer page.,"Admin,Sales","permissions,stockapps- howto- opportunities,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other,user & account management","Customer is unable to locate the 'Items Purchased' tab under the customer page.
The tab may not be visible because the reorder feature is not enabled in the account settings.
To enable the tab, the customer needs to enable reorders in the Opportunity App Preferences.
The Opportunities App can be located on the Method dashboard or by expanding the left menu.
If the customer does not have access to the Opportunities App, the account admin can give them permission by following the steps in the article provided. Chat Link"
The customer contacted us regarding an issue with their sales order where converting to an invoice changed the quantity for each item.,Transactions,"stockapps how-to,icr-cs,icr-ps,invoices","miscellaneous,how-to","Sales Order 214470 is experiencing an issue where converting to an Invoice changes the quantity to (1) for each item.
This is due to Unit of Measure (UoM) differences and a ticket has been created for the development team to resolve the issue.
A case number #56956 has been generated for reference.
The support team will keep the customer updated on the progress.
The customer is satisfied with the support received. Chat Link"
The customer contacted us for assistance with grouping similar items in a donation report.,Customer,report designer,"general support & issue resolution,other","The customer is having issues with a donation report, specifically with grouping similar items together.
The teammate suggests using the Web Report Designer to group items together.
The customer agrees to a screenshare and provides an example of the report.
The teammate discovers that the report is sorting data by Member Type and offers further customization options.
The customer thanks the teammate for their help. Chat Link"
The customer contacted us to inquire about the possibility of locking invoice items after payment.,Transactions,"stockapps how-to,invoices",how-to,"Customer wants to know if invoice items can be locked after payment Teammate asks for clarification on what is meant by ""lock invoice items"" Teammate checks in to see if customer is still there and if they received previous messageChat Link"
The customer contacted us because items and services added to QuickBooks Online were not showing up in Method.,Connect,"qbdt sync,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","• Items and services added to QuickBooks Online may not show up in Method for various reasons.
• Possible reasons include: unchecked ''I purchase this service from a supplier'' checkbox, inactive or type ''Category'' items, or outdated sync.
• To resolve the issue, check the checkbox, ensure items are not inactive or of type ''Category'', and sync QuickBooks Online with Method.
• If the issue persists, contact support for further assistance.
• Teammate confirms if customer can resolve the issue and offers additional help if needed. Chat Link"
The customer contacted us for help with importing items/products into Method and syncing them to QuickBooks.,Admin,data import/export,other,"Customer is trying to import items/products into Method and sync them to QuickBooks.
They are having issues importing into QBO and want to try importing to Method first.
Teammate offers help from expert consultants for importing and suggests testing with a few sample items first.
Customer will try with a few sample items before importing their entire list.
Teammate reminds customer to reach out for help if needed. Chat Link"
The customer contacted us for assistance with creating an inventory assembly item in QuickBooks Online.,Sales,stockapps- howto- items,"general support & issue resolution,other","You cannot change an item once it is created.
To add an inventory assembly item, go to the item app and select ''inventory assembly''.
You must create inventory items before adding them to the assembly.
Inventory tracking must be turned on in QuickBooks Online before creating an inventory item.
You can reach out for further assistance. Chat Link"
The customer contacted us to inquire about printing a partial pick ticket for a sales order with only a few items.,Customer,customization,"general support & issue resolution,other","• Customer is looking to print a partial pick ticket for a sales order with only a few items.
• Teammate suggests reaching out to Aleks Radman for customization.
• Customer has an open consulting case with Aleks Radman.
• Aleks Radman can be reached at a.radman@method.me.
• Teammate mentions that the team will be out of office at 6PM EST and will respond on Monday if needed.
Chat Link"
The customer contacted us because items were not appearing in the item details for bills in the Method app.,"Sales,Sales","stockapps- howto- bills,stockapps- howto- items","general support & issue resolution,other","Items are not appearing in the item details for bills in the Method app.
This could be due to items not being saved or not being set up to be purchased from a vendor.
To show items in a vendor/bill transaction, the ''I purchase this service from a supplier'' checkbox must be enabled and a cost must be added.
The category chosen in QuickBooks is classified as an Account in Method and can be selected under ''Account Details'' when creating a bill.
To avoid accidentally clicking on the Line Item grid, only select the Account Details and then select the Account. Chat Link"
The customer contacted us to inquire about line-item service details in the customer portal.,,,general support & issue resolution,"• Customer is looking for line-item service details in the customer portal.
• Teammate offers to investigate the issue and asks for permission to access the account.
• Teammate discovers that the desired fields are located in a different table and suggests setting up linked fields or contacting the customization team for assistance.
• Teammate offers to send a pay-per-use agreement for additional customization services.
• Customer mentions working with a specific team member in the past and will contact them for assistance. Chat Link"
The customer contacted us due to receiving sync errors for items.,,,,"Customer received sync errors for items
Teammate tried to resolve the errors but was unable to
Teammate created a case for support to investigate further
Case number is #55045
Support will reach out to customer shortly. Chat Link"
The customer contacted us with questions about an item not showing in Method after a sync and inquired about sorting contacts and automating activity creation.,Connect,qbdt sync,other,"Free 1-hour customization session (a $145 value) offered to customer for next week
Customer has questions about an item not showing in Method after a sync
Teammate offers to access account and investigate issue
Teammate suggests screenshare to further assist customer
Customer inquires about sorting contacts by last activity and automating activity creation for estimates Chat Link"
The customer contacted us regarding issues with syncing items and mailing list in QuickBooks Online.,,"icr-cs,icr-ps",miscellaneous,"Invoice 243533 is not syncing the items changed in QuickBooks Online.
Possible reasons: connection issue, sync approval, or sync conflict.
Teammate is investigating the issue and will update the customer.
Customer is experiencing a delay in syncing new items added in QuickBooks Online.
Customer is also experiencing an issue with the mailing list for some customers getting overwritten. Chat Link"
The customer contacted us to report issues with disappearing lines and items in estimates in Method.,Sales,stockapps- howto-estimates,other,"Customer is experiencing issues with disappearing lines and items in estimates in Method.
The issue occurs after saving the entire estimate.
The customer is using Method without QuickBooks, but someone else in their company does use QuickBooks with Method.
The teammate requests a screenshot and permission to access the account to investigate the issue.
The customer provides a Sales Order number and the teammate confirms the issue and offers to assist further. Chat Link"
The customer contacted us regarding an issue with line item cost or sales price being deleted when editing the description column in Method's Estimate app.,Sales,stockapps- howto-estimates,other,"Customer is experiencing an issue with line item cost or sales price being deleted when editing the description column in Method's Estimate app.
Teammate requested more information and a screen recording of the issue.
Customer confirmed the issue occurs with QuickBooks imported estimates.
Teammate was unable to replicate the issue and created a case with support (#53578).
Teammate requested a screenshare to further investigate the issue. Chat Link"
The customer contacted us to inquire about creating an Item Report by Customer.,,"how-to,icr-cs,icr-ps","miscellaneous,how-to,general support & issue resolution","Customer is looking for a way to create an Item Report by Customer.
Teammate provides step-by-step instructions on how to create the report.
Teammate also mentions that the report can be accessed and run from the Invoice List screen.
Customer asks to connect to an agent.
Teammate confirms availability and asks if customer needs a print template for the report. Chat Link"
The customer contacted us for help adding a column to the ''View Items'' tab in the customer portal.,,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","• Customer needs help adding a column to the ''View Items'' tab in the customer portal.
• Teammate offers to access the account and make the change.
• Teammate successfully adds the column and offers to show customer how to make changes themselves in the future.
• Customer expresses gratitude and teammate offers to assist with any further questions.
• Teammate reminds customer to refresh the screen to see the changes. Chat Link"
