Rating,Comment,Licenses,Account,App,Date,Age,Page Loads - All,Page Loads - FS
6,"I would like to see much needed improvements to the mobile app, better responsive and quicker sync with Quickbooks. Also being able to price as final instead of rate would be a much appreciated improvement. ",3,creativecurvemediagroupinc,Method:CRM For QBO,2023-02-07,459,447,297
0,"it's expensive and i can't change the forms and create new ones myself... i like the info that we can see on each contact, but it's not worth the money I don't think.",4,ruggedcrossranchministries,Method:CRM For QBO,2024-01-26,709,163,0
0,"I like how integrated it is and that it's web browser based. I dislike how many bugs and errors there are. Being customizable is nice, but the customizations frequently don't communicate well with how the software itself is designed to operate.",19,brpmett02,Method:CRM for QBD,2024-04-12,647,5996,0
0,"Not good for NP orgs. I can't create reports how I need them because a report is only as good as the information you are able to include in the CRM. I can not have a household because I need my individual donors to be separate, but when I create a report for donations made by  donors I cant send one letter to a household. In order to credit a donation to a pledge it has to come in as a payment, so I have to create 2 different reports. I could list a lot more but I don't have the space.",3,boysandgirlsclubofwestcentralmissouri,Method:CRM For QBO,2024-03-14,71,1932,0
0,"app is not user friendly, desktop is hardly any better.",1,gtzelectricllc,Method:CRM For QBO,2023-09-19,41,2015,962
0,no,10,animalhospitalsupplyinc2,Method:CRM for QBD,2023-11-09,639,2344,0
5,The issues of it syncing to Quick Books,11,summersetboatlifts,Method:CRM for QBD,2024-05-31,143,4330,809
1,It takes forever to upload items.,5,comfortzonewindowtinting,Method:CRM For QBO,2023-01-18,240,177,0
0,I find that the navigation isn't always user friendly. Also the search has to be VERY specific,2,careerlabsvr,Method:CRM For QBO,2024-08-16,1226,87,0
3,"It's hard for a non-coder to create and customise templates (CofC, Cert of Origin) and info exchange with QBO is not 2-way",1,aircoversltd,Method:CRM For QBO,2023-09-24,1146,457,0
3,error messages often 'fields',4,foremanprocleaning,Method CRM Pro for QB Online,2024-09-11,3308,2256,0
5,I like the ability for our employees to all view work orders and make changes as needed.  I don't like the email to customers side of the program or the way work orders don't utilize date started/date ended for multi-day projects.,6,rpssewerservicesllc,Method:CRM For QBO,2024-11-14,849,2623,1062
5,"QuickBooks Online: First import pulled in projects as sub-customers, then subsequent synchronizations do not import new projects as sub-customers. Very misleading.",2,higginsonconsultingltd,Method:CRM For QBO,2023-10-17,21,2603,385
0,"Keeps lagging, or removes lines from estimates when saving",19,commair,Method:CRM for QBD,2024-10-07,1536,4767,1345
1,Has not worked properly for days... my apps keep disappearing and I need to do the same work 3+ times...,3,dashrllc,Method:CRM For QBO,2023-11-09,1794,371,0
